09-wissel-company_status,10-DeBiGa-company_status
active,active
active,active
active,active
active,active
active,liquidation
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,dissolved
,dissolved
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,liquidation
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,dissolved
,dissolved
,liquidation
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,dissolved
,active
,active
,active
,active
,dissolved
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,liquidation
,dissolved
,active
,active
,active
,liquidation
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,dissolved
,active
,dissolved
,active
,active
,active
,active
,active
,active
,liquidation
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,dissolved
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,liquidation
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,dissolved
,dissolved
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,dissolved
,active
,dissolved
,active
,active
,liquidation
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,liquidation
,active
,active
,active
,active
,liquidation
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,dissolved
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,dissolved
,dissolved
,active
,active
,active
,active
,active
,active
,dissolved
,active
,liquidation
,active
,active
,active
,active
,active
,in administration
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,liquidation
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,liquidation
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,dissolved
,dissolved
,active
,active
,active
,active
,dissolved
,active
,dissolved
,active
,active
,dissolved
,dissolved
,dissolved
,dissolved
,dissolved
,dissolved
,dissolved
,dissolved
,active
,liquidation
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,dissolved
,active
,dissolved
,active
,dissolved
,active
,active
,dissolved
,active
,active
,active
,active
,active
