,index,address,est_of_ownership,hhid,industry,name,country,sic_code,type
175,175,"via michelino 59, bologna, 40127, bologna, italy",1962,h-it0017623804,wholesale trade,conad consorzio nazionale dettaglianti soc coop,italy,whol non durable goods (5199),corporation
176,176,"via della piovola 138, empoli, 50053, firenze, italy",2010,h-it0021553033,services,sesa spa,italy,management consulting services (8742),corporation
177,177,"viale egidio galbani 70, roma, 00156, roma, italy",1999,h-it0009518258,"transportation, communications, electric, gas, and sanitary services",terna rete elettrica nazionale spa,italy,electric services (4911),corporation
178,178,"via enrico stendhal 47, milano, 20144, milano, italy",2004,h-it0002491664,"finance, insurance, and real estate",moncler spa,italy,patent owner/lessor (6794),corporation
179,179,"corso giulio cesare 424/95/c, torino, 10156, torino, italy",1930,h-it0010302581,manufacturing,michelin italiana s.a.m.i. spa,italy,mfg tires/inner tubes (3011),corporation
180,180,"via enrico mattei 42, bologna, 40138, bologna, italy",1979,h-it0022984526,"transportation, communications, electric, gas, and sanitary services",brt spa,italy,trucking operator-non local (4213),corporation
181,181,"via lodovico seitz 47, treviso, 31100, treviso, italy",1968,h-it0009358986,manufacturing,de' longhi appliances srl,italy,mfg electric housewares/fans (3634),corporation
182,182,"via del serafico 89, roma, 00142, roma, italy",1929,h-it0008847908,retail trade,ford italia spa,italy,ret new/used automobiles (5511),corporation
183,183,"contrada della misericordia 14, vicenza, 36100, vicenza, italy",1988,h-it0039940438,"finance, insurance, and real estate",so.fi.d.a. spa,italy,misc business credit institutions (6159),corporation
184,184,"via leopoldo serra 32, roma, 00153, roma, italy",1985,h-it0002323834,services,arianna 2001 spa,italy,business services (7389),corporation
185,185,"via matteo civitali 1, milano, 20148, milano, italy",1926,h-it0009754954,manufacturing,recordati industria chimica e farmaceutica spa,italy,mfg pharmaceutical preparations (2834),corporation
186,186,"strada 8 palazzo n milanofiori, rozzano, 20089, milano, italy",1993,h-it0001474030,retail trade,leroy merlin italia srl,italy,ret misc general merchandise (5399),corporation
187,187,"via ignazio gardella 2, milano, 20149, milano, italy",1921,h-it0009852255,"finance, insurance, and real estate",vittoria assicurazioni spa,italy,insurance carrier (6399),corporation
188,188,"via ansperto 7, milano, 20123, milano, italy",2004,h-it0024524522,"finance, insurance, and real estate",vanini holding srl,italy,holding company (6719),corporation
189,189,"via enrico fermi 13/f, verona, 37135, verona, italy",1961,h-it0073057495,manufacturing,fedrigoni spa,italy,paper mill (2621),corporation
190,190,"viale bianca maria 24, milano, 20129, milano, italy",2007,h-it0024173657,"finance, insurance, and real estate",gruppo ipg holding spa,italy,holding company (6719),corporation
191,191,"via borgonuovo 14, milano, 20121, milano, italy",2020,h-it0587875608,"finance, insurance, and real estate",bg holding srl,italy,holding company (6719),corporation
192,192,"via piave 1, altavilla vicentina, 36077, vicenza, italy",1905,h-it0075590115,manufacturing,burgo group spa,italy,paper mill (2621),corporation
193,193,"via flavio gioia 8, milano, 20149, milano, italy",2002,h-it0007749643,"finance, insurance, and real estate",gruppo lactalis italia srl,italy,holding company (6719),corporation
194,194,"strada provinciale 130 andria-trani, trani, 76125, barletta andria trani, italy",1979,h-it0013320254,"finance, insurance, and real estate",megaholding srl,italy,holding company (6719),corporation
195,195,"zona industriale di baragiano snc, balvano, 85050, potenza, italy",2010,h-it0020126247,services,betflag spa,italy,amusement/recreation services (7999),corporation
196,196,"via del pino 1, empoli, 50053, firenze, italy",1993,h-it0075070049,wholesale trade,computer gross spa,italy,whol computers/peripherals (5045),corporation
197,197,"viale europa 46, cologno monzese, 20093, milano, italy",1979,h-it0025357808,services,publitalia 80 concessionaria pubblicita' spa,italy,advertising representative (7313),corporation
198,198,"via guglielmo marconi 36, bologna, 40122, bologna, italy",1985,h-it0030349982,"finance, insurance, and real estate",papiniano spa,italy,misc business credit institutions (6159),corporation
199,199,"strada cipata 79, mantova, 46100, mantova, italy",1975,h-it0036784486,manufacturing,ies italiana energia e servizi spa,italy,petroleum refiner (2911),corporation
200,200,"via dei mercanti 3, forli', 47122, forli'-cesena, italy",1959,h-it0035389850,wholesale trade,commercianti indipendenti associati soc coop,italy,whol general groceries (5141),corporation
201,201,"via antonio sant'elia, corato, 70033, bari, italy",1998,h-it0071883754,"finance, insurance, and real estate",casillo partecipazioni spa,italy,holding company (6719),corporation
202,202,"via dell'industria 2, breganze, 36042, vicenza, italy",1981,h-it0034407464,"finance, insurance, and real estate",otb spa,italy,holding company (6719),corporation
203,203,"via nicola lorenzi 8, genova, 16152, genova, italy",1953,h-it0009920250,manufacturing,ansaldo energia spa,italy,mfg turbines/generator sets (3511),corporation
204,204,"via verizzo 1030, pieve di soligo, 31053, treviso, italy",2021,h-it0888727319,"transportation, communications, electric, gas, and sanitary services",romeo gas spa,italy,gas transmission/distribution (4923),corporation
205,205,"via giorgio perlasca 20/c, fidenza, 43036, parma, italy",2022,h-it1038511118,"transportation, communications, electric, gas, and sanitary services",sg distribuzione srl,italy,gas transmission/distribution (4923),corporation
206,206,"via giuseppe verdi 11, bergamo, 24121, bergamo, italy",1985,h-it0062801449,"finance, insurance, and real estate",radicifin sapa,italy,holding company (6719),corporation
207,207,"via brigata liguria 3/19, genova, 16121, genova, italy",1985,h-it0021467846,wholesale trade,alpha trading spa,italy,whol petroleum products (5172),corporation
208,208,"strada dell'universita' 1, parma, 43121, parma, italy",1860,h-it0066706513,"finance, insurance, and real estate",credit agricole italia spa,italy,national commercial bank (6021),corporation
209,209,"via gioacchino rossini 6/8, milano, 20122, milano, italy",1996,h-it0072914947,services,manpower srl,italy,help supply services (7363),corporation
210,210,"piazza della repubblica 28, milano, 20124, milano, italy",2010,h-it0025923595,"finance, insurance, and real estate",bennet holding spa,italy,holding company (6719),corporation
211,211,"piazza della repubblica 28, milano, 20124, milano, italy",2007,h-it0003010643,"finance, insurance, and real estate",finmeg srl,italy,holding company (6719),corporation
212,212,"via enzo ratti 2, montano lucino, 22070, como, italy",1983,h-it0050435167,retail trade,bennet spa,italy,ret groceries (5411),corporation
213,213,"via leopoldo serra 32, roma, 00153, roma, italy",1988,h-it0075759675,services,servizi in rete 2001 srl,italy,business services (7389),corporation
214,214,"ponte francesco morosini 41, genova, 16126, genova, italy",2007,h-it0020978235,"finance, insurance, and real estate",cosulich international srl,italy,holding company (6719),corporation
215,215,"via dante alighieri 5, trieste, 34122, trieste, italy",1948,h-it0010655727,"transportation, communications, electric, gas, and sanitary services",fratelli cosulich spa,italy,water freight transportation (4449),corporation
216,216,"via fersina 23, trento, 38123, trento, italy",2000,h-it0075537567,"transportation, communications, electric, gas, and sanitary services",dolomiti energia trading spa,italy,electric services (4911),corporation
217,217,"piazzale pietro ferrero 1, alba, 12051, cuneo, italy",2015,h-it0048640867,wholesale trade,ferrero commerciale italia srl,italy,whol confectionery (5145),corporation
218,218,"zona industriale snc, luogosano, 83040, avellino, italy",1971,h-it0039603474,wholesale trade,arcelormittal commercial italy srl,italy,metals service center (5051),corporation
219,219,"via delle sette regole 21, scandicci, 50018, firenze, italy",1995,h-it0075579588,services,arval service lease italia spa,italy,passenger car rental (7514),corporation
220,220,"viale europa 44/46 48, cologno monzese, 20093, milano, italy",1983,h-it0029655471,"transportation, communications, electric, gas, and sanitary services",reti televisive italiane spa,italy,radio broadcast station (4832),corporation
221,221,"via barberini 28, roma, 00187, roma, italy",1908,h-it0008049726,"finance, insurance, and real estate",caltagirone spa,italy,holding company (6719),corporation
222,222,"corso sempione 55, milano, 20149, milano, italy",1985,h-it0074072633,"finance, insurance, and real estate",nexi payments spa,italy,misc business credit institutions (6159),corporation
223,223,"via adele bei 340, cesena, 47522, forli'-cesena, italy",1980,h-it0012575569,retail trade,unicomm srl,italy,ret mail-order house (5961),corporation
224,224,"piazza guglielmo marconi 25, roma, 00144, roma, italy",1927,h-it0069832633,"finance, insurance, and real estate",hdi assicurazioni spa,italy,insurance carrier (6399),corporation
225,225,"via marco ulpio traiano 57, milano, 20149, milano, italy",1963,h-it0013955748,retail trade,iper montebello spa,italy,ret groceries (5411),corporation
226,226,"via vivaro 2, alba, 12051, cuneo, italy",1924,h-it0016323181,"finance, insurance, and real estate",egea ente gestione energia e ambiente spa,italy,holding company (6719),corporation
227,227,"viale francesco cassani 14, treviglio, 24047, bergamo, italy",1927,h-it0008057494,"finance, insurance, and real estate",sdf spa,italy,holding company (6719),corporation
228,228,"via cardinale guglielmo massaia 83, torino, 10147, torino, italy",1997,h-it0051305976,services,reply spa,italy,custom computer programming (7371),corporation
229,229,"via xx settembre 58/c, bergamo, 24122, bergamo, italy",2017,h-it0058547967,"finance, insurance, and real estate",sdf holding spa,italy,holding company (6719),corporation
230,230,"zona industriale, osoppo, 33010, udine, italy",2006,h-it0024431869,"finance, insurance, and real estate",compagnia siderurgica italiana srl,italy,holding company (6719),corporation
231,231,"zona industriale snc, osoppo, 33010, udine, italy",1977,h-it0047159456,"finance, insurance, and real estate",fin.fer. spa,italy,holding company (6719),corporation
232,232,"via luigi sani 1, reggio emilia, 42121, reggio emilia, italy",1990,h-it0072039167,"finance, insurance, and real estate",credemvita spa,italy,life insurance carrier (6311),corporation
233,233,"via i maggio 99, rivalta di torino, 10040, torino, italy",2019,h-it0065323149,"finance, insurance, and real estate",ge italia holding srl,italy,holding company (6719),corporation
234,234,"via dodiciville 8, bolzano, 39100, bolzano, italy",1999,h-it0069572062,"transportation, communications, electric, gas, and sanitary services",alperia smart services srl,italy,electric services (4911),corporation
235,235,"via terraglio 17, venezia, 30174, venezia, italy",2014,h-it0042059909,retail trade,ovs spa,italy,ret misc general merchandise (5399),corporation
236,236,"via eden fumagalli, brugherio, 20861, monza e brianza, italy",1945,h-it0012031763,manufacturing,candy hoover group srl,italy,mfg electric housewares/fans (3634),corporation
237,237,"via del rio 400, cesena, 47522, forli'-cesena, italy",2008,h-it0004677358,"finance, insurance, and real estate",francesco spa,italy,holding company (6719),corporation
238,238,"piazza borromeo 14, milano, 20123, milano, italy",2017,h-it0058696008,"finance, insurance, and real estate",amadori spa,italy,holding company (6719),corporation
239,239,"via achille grandi 18, brescia, 25125, brescia, italy",1934,h-it0034820485,wholesale trade,cooperativa esercenti farmacia soc. coop. a rl,italy,whol drugs/sundries (5122),cooperative
240,240,"via agostino bertani 2, milano, 20154, milano, italy",1994,h-it0042957966,"finance, insurance, and real estate",centauro srl,italy,subdivider/developer (6552),corporation
241,241,"via padana superiore 19, vimodrone, 20055, milano, italy",1952,h-it0009265147,"finance, insurance, and real estate",tesya spa,italy,holding company (6719),corporation
242,242,"via marostica 1, milano, 20146, milano, italy",1999,h-it0072874368,"transportation, communications, electric, gas, and sanitary services",alpiq energia italia spa,italy,electric services (4911),corporation
243,243,"via marostica 1, milano, 20146, milano, italy",2000,h-it0074441337,"transportation, communications, electric, gas, and sanitary services",alpiq italia srl,italy,electric services (4911),corporation
244,244,"via madre anna maria adorni 1, parma, 43121, parma, italy",1910,h-it0008738297,construction,impresa pizzarotti & c. spa,italy,operative builders (1531),corporation
245,245,"via stazione 4, cosio valtellino, 23013, sondrio, italy",1990,h-it0064668533,retail trade,autotorino spa,italy,ret new/used automobiles (5511),corporation
246,246,"via giacomo venturi 1-2, valsamoggia, 40053, bologna, italy",1962,h-it0009644059,manufacturing,philip morris manufacturing & technology bologna spa,italy,mfg chewing/smoking tobacco (2131),corporation
247,247,"viale luigi bodio 37/b, milano, 20158, milano, italy",1938,h-it0055781381,manufacturing,sanofi srl,italy,mfg pharmaceutical preparations (2834),corporation
248,248,"corso orbassano 367, torino, 10137, torino, italy",2000,h-it0058324453,services,leasys spa,italy,passenger car rental (7514),corporation
249,249,"via paolo di dono 3/a, roma, 00142, roma, italy",1996,h-it0002837900,wholesale trade,unilever italia mkt. operations srl,italy,whol non durable goods (5199),corporation
250,250,"via lavoratori autobianchi 1, desio, 20832, monza e brianza, italy",1991,h-it0069732612,retail trade,decathlon italia srl,italy,ret sporting goods/bicycles (5941),corporation
251,251,"piazza giuseppe garibaldi 4, sarzana, 19038, la spezia, italy",2008,h-it0003003698,"transportation, communications, electric, gas, and sanitary services",hb trading spa,italy,natural gas distribution (4924),corporation
252,252,"via francesco baracca 2/4 6, aprilia, 04011, latina, italy",1994,h-it0071511059,retail trade,eurospin lazio spa,italy,ret groceries (5411),corporation
253,253,"strada provinciale 130 andria-trani, trani, 76125, barletta andria trani, italy",2003,h-it0003441288,wholesale trade,megamark srl,italy,whol non durable goods (5199),corporation
254,254,"riviera francia 9/11, padova, 35127, padova, italy",1963,h-it0050478427,manufacturing,acciaierie venete spa,italy,blast furnace-steel works (3312),corporation
255,255,"riviera francia 9/11, padova, 35127, padova, italy",2006,h-it0002860651,"finance, insurance, and real estate",parsid spa,italy,holding company (6719),corporation
256,256,"lungostura lazio 3a, torino, 10100, torino, italy",2013,h-it0039145182,"finance, insurance, and real estate",cnh industrial n.v.,italy,holding company (6719),foreign company
257,257,"via del mulino 6, assago, 20057, milano, italy",1913,h-it0009745254,manufacturing,nestle' italiana spa,italy,mfg food preparations (2099),corporation
258,258,"via cadriano 27/2, bologna, 40127, bologna, italy",1988,h-it0069012415,manufacturing,granarolo spa,italy,mfg fluid milk (2026),corporation
259,259,"piazzale giulio douhet 31, roma, 00143, roma, italy",1949,h-it0009534156,"finance, insurance, and real estate",fideuram intesa sanpaolo private banking spa,italy,national commercial bank (6021),corporation
260,260,"corso susa 13/15, caselette, 10040, torino, italy",1967,h-it0009378731,manufacturing,c.l.n. coils lamiere nastri spa,italy,blast furnace-steel works (3312),corporation
261,261,"via salaria 1039, roma, 00138, roma, italy",1932,h-it0061854905,"finance, insurance, and real estate",ferfina spa,italy,holding company (6719),corporation
262,262,"via salaria 1039, roma, 00138, roma, italy",2012,h-it0006665942,"finance, insurance, and real estate",finanziaria dei dogi srl,italy,holding company (6719),corporation
263,263,"piazzale dell'agricoltura 24, roma, 00144, roma, italy",1980,h-it0018199887,services,engineering - ingegneria informatica spa,italy,custom computer programming (7371),corporation
264,264,"via cadriano 36, bologna, 40127, bologna, italy",1957,h-it0022450319,"agriculture, forestry, and fishing",granlatte soc coop agricola a rl,italy,animal specialties farm (0279),corporation
265,265,"via dell'unione 1, milano, 20122, milano, italy",2004,h-it0007817320,"transportation, communications, electric, gas, and sanitary services",e.on energia spa,italy,natural gas distribution (4924),corporation
266,266,"via xxv aprile 23, san donato milanese, 20097, milano, italy",1972,h-it0001757369,wholesale trade,metro italia cash and carry spa,italy,whol non durable goods (5199),corporation
267,267,"via marchese campodisola 13, napoli, 80133, napoli, italy",1973,h-it0013250906,"transportation, communications, electric, gas, and sanitary services",grimaldi euromed spa,italy,water freight transportation (4449),corporation
268,268,"viale giorgio ribotta 11, roma, 00144, roma, italy",1956,h-it0075114402,services,procter & gamble holding srl,italy,business services (7389),corporation
269,269,"via tomacelli 146, roma, 00186, roma, italy",1992,h-it0070718237,"finance, insurance, and real estate",cassa di compensazione e garanzia spa,italy,misc business credit institutions (6159),corporation
270,270,"viale leone tolstoj 65, san giuliano milanese, 20098, milano, italy",1983,h-it0014480646,manufacturing,tech data italia srl,italy,misc publishing (2741),corporation
271,271,"viale giosue' carducci 48, bologna, 40125, bologna, italy",2015,h-it0048609145,"finance, insurance, and real estate",waterfall italia spa,italy,holding company (6719),corporation
272,272,"viale giosue' carducci 48, bologna, 40125, bologna, italy",2014,h-it0044257554,"finance, insurance, and real estate",i.d. 4 italia srl,italy,holding company (6719),corporation
273,273,"via dodiciville 8, bolzano, 39100, bolzano, italy",1999,h-it0062988077,"transportation, communications, electric, gas, and sanitary services",alperia trading srl,italy,electric services (4911),corporation
274,274,"via ciovassino 1/a, milano, 20121, milano, italy",1980,h-it0014786710,"finance, insurance, and real estate",sogefi spa,italy,holding company (6719),corporation
275,275,"via john fitzgerald kennedy 5, campegine, 42040, reggio emilia, italy",1997,h-it0011010495,wholesale trade,conad centro nord soc coop,italy,whol non durable goods (5199),corporation
276,276,"via valpantena 18/g, verona, 37142, verona, italy",1976,h-it0010582002,"agriculture, forestry, and fishing",societa' agricola la pellegrina spa,italy,poultry/poultry egg farm (0259),corporation
277,277,"via giuseppe verdi 8, bedizzole, 25081, brescia, italy",1989,h-it0068457146,"finance, insurance, and real estate",siderurgica investimenti srl,italy,holding company (6719),corporation
278,278,"via solferino 1, lodi, 26900, lodi, italy",1978,h-it0029868157,"finance, insurance, and real estate",zucchetti group spa,italy,holding company (6719),corporation
279,279,"corso giovanni lanza 101, torino, 10133, torino, italy",1994,h-it0071559523,"finance, insurance, and real estate",finde spa,italy,misc business credit institutions (6159),corporation
280,280,"viale thomas alva edison 110, sesto san giovanni, 20099, milano, italy",2002,h-it0073889660,"finance, insurance, and real estate",shell italia holding spa,italy,holding company (6719),corporation
281,281,"via baione 200, monopoli, 70043, bari, italy",1990,h-it0028047338,"finance, insurance, and real estate",marseglia group spa,italy,holding company (6719),corporation
282,282,"via guglielmo marconi 24, rozzano, 20089, milano, italy",2007,h-it0075874768,retail trade,bricoman italia srl,italy,ret hardware (5251),corporation
283,283,"viale bianca maria 25, milano, 20122, milano, italy",2020,h-it0366646049,"finance, insurance, and real estate",centurion newco spa,italy,holding company (6719),corporation
284,284,"corso nino bixio 8, alba, 12051, cuneo, italy",1996,h-it0072771879,"transportation, communications, electric, gas, and sanitary services",egea commerciale,italy,natural gas distribution (4924),corporation
285,285,"piazzale guido donegani 12, ferrara, 44122, ferrara, italy",1995,h-it0072235470,manufacturing,basell poliolefine italia srl,italy,mfg plastic materials/resins (2821),corporation
286,286,"frazione valcozzena 10, agordo, 32021, belluno, italy",1961,h-it0011912154,manufacturing,luxottica srl,italy,mfg ophthalmic goods (3851),corporation
287,287,"via mare adriatico 122, spoltore, 65010, pescara, italy",1990,h-it0029562732,manufacturing,fater spa,italy,mfg sanitary paper products (2676),corporation
288,288,"via monte napoleone 8, milano, 20121, milano, italy",1994,h-it0016973011,"finance, insurance, and real estate",u.t. communications spa,italy,holding company (6719),corporation
289,289,"via olanda 2, padova, 35127, padova, italy",1973,h-it0012582263,retail trade,ali' spa,italy,ret groceries (5411),corporation
290,290,"via leonida bissolati 20, roma, 00187, roma, italy",2008,h-it0014221233,wholesale trade,lukoil italia srl,italy,whol petroleum products (5172),corporation
291,291,"strada del portone 95, grugliasco, 10095, torino, italy",1993,h-it0074677802,"finance, insurance, and real estate",bitron industrie spa,italy,holding company (6719),corporation
292,292,"via olanda 2, padova, 35127, padova, italy",2006,h-it0015617815,"finance, insurance, and real estate",ali' group srl,italy,holding company (6719),corporation
293,293,"via mecenate 86, milano, 20138, milano, italy",2003,h-it0074413902,manufacturing,epta spa,italy,mfg refrigeration/heating equipment (3585),corporation
294,294,"via mecenate 86, milano, 20138, milano, italy",2017,h-it0058458778,"finance, insurance, and real estate",epta hdp spa,italy,holding company (6719),corporation
295,295,"viale europa 190, roma, 00144, roma, italy",2001,h-it0072352515,"finance, insurance, and real estate",postepay spa,italy,national commercial bank (6021),corporation
296,296,"via ruggero boscovich 27, milano, 20124, milano, italy",2018,h-it0059847948,"finance, insurance, and real estate",pini holding srl,italy,holding company (6719),corporation
297,297,"strada statale per alessandria 6/a, tortona, 15057, alessandria, italy",1995,h-it0030078768,construction,itinera spa,italy,highway/street construction (1611),corporation
298,298,"viale della scienza 25, vicenza, 36100, vicenza, italy",1925,h-it0070992320,manufacturing,acciaierie valbruna spa,italy,blast furnace-steel works (3312),corporation
299,299,"strada provinciale 11 padana superiore 2/b, cernusco sul naviglio, 20063, milano, italy",1997,h-it0001705946,retail trade,penny market srl,italy,ret groceries (5411),corporation
300,300,"viale dei lanifici 1, valdagno, 36078, vicenza, italy",1997,h-it0073453986,services,valentino spa,italy,business services (7389),corporation
301,301,"via cumiana 14, rivoli, 10098, torino, italy",1989,h-it0075060949,manufacturing,dana graziano srl,italy,mfg power transmission equipment (3568),corporation
302,302,"via carlo poma 11, pomezia, 00071, roma, italy",2002,h-it0074100025,retail trade,iris mobili srl,italy,ret furniture (5712),corporation
303,303,"via portamurata 8/a, guastalla, 42016, reggio emilia, italy",1975,h-it0010857044,manufacturing,padana tubi e profilati acciaio spa,italy,mfg steel pipe/tubes (3317),corporation
304,304,"via mozzoni localita' s.domenico, ottaviano, 80044, napoli, italy",1980,h-it0012438634,manufacturing,adler plastic spa,italy,mfg plastic products (3089),corporation
305,305,"piazza john fitzgerald kennedy 3, ravenna, 48121, ravenna, italy",2004,h-it0074142240,wholesale trade,cofco international italy srl,italy,whol grain/field beans (5153),corporation
306,306,"via crescentino, saluggia, 13040, vercelli, italy",1996,h-it0074334530,"finance, insurance, and real estate",diasorin spa,italy,holding company (6719),corporation
307,307,"localita' castelluccio 11, capolona, 52010, arezzo, italy",1977,h-it0028132408,manufacturing,t.c.a. trattamenti ceneri auroargentifere spa,italy,primary nonferrous metal producer (3339),corporation
308,308,"viale cesare pavese 385, roma, 00144, roma, italy",1929,h-it0070694672,"finance, insurance, and real estate",groupama assicurazioni spa,italy,insurance carrier (6399),corporation
309,309,"corso lino zanussi 24, porcia, 33080, pordenone, italy",1916,h-it0008016585,manufacturing,electrolux italia spa,italy,mfg electric housewares/fans (3634),corporation
310,310,"via ubaldo poli 4, zola predosa, 40069, bologna, italy",1938,h-it0036360678,"finance, insurance, and real estate",msc societa' di partecipazione tra lavoratori spa,italy,holding company (6719),corporation
311,311,"via cuneo 34, cherasco, 12062, cuneo, italy",1973,h-it0014501481,wholesale trade,dimar spa,italy,whol non durable goods (5199),corporation
312,312,"corso giulio cesare 268, torino, 10154, torino, italy",1981,h-it0061951439,"transportation, communications, electric, gas, and sanitary services",tnt global express srl,italy,courier service (4215),corporation
313,313,"via garbagnate 63, lainate, 20045, milano, italy",1945,h-it0003745546,wholesale trade,unico la farmacia dei farmacisti spa,italy,whol drugs/sundries (5122),corporation
314,314,"via aurelia 915, roma, 00165, roma, italy",1966,h-it0016265335,wholesale trade,engycalor energia calore srl,italy,whol petroleum products (5172),corporation
315,315,"via michelino 105, bologna, 40127, bologna, italy",1968,h-it0066647894,wholesale trade,comet spa,italy,whol appliances/tv/radio (5064),corporation
316,316,"via michelino 105, bologna, 40127, bologna, italy",2003,h-it0002419203,"finance, insurance, and real estate",comet holding spa,italy,holding company (6719),corporation
317,317,"corso vercelli 120/c, novara, 28100, novara, italy",1945,h-it0000430994,"finance, insurance, and real estate",unione farmaceutica novarese,italy,holding company (6719),corporation
318,318,"via dei tornabuoni 2, firenze, 50123, firenze, italy",1989,h-it0008928983,"finance, insurance, and real estate",ferragamo finanziaria spa,italy,holding company (6719),corporation
319,319,"via i maggio 99, rivalta di torino, 10040, torino, italy",2013,h-it0037227971,manufacturing,ge avio srl,italy,mfg aircraft (3721),corporation
320,320,"corso europa 2, milano, 20122, milano, italy",2009,h-it0021827443,"finance, insurance, and real estate",alrescha investimenti srl,italy,holding company (6719),corporation
321,321,"viale francesco cassani 15, treviglio, 24047, bergamo, italy",1978,h-it0010071229,manufacturing,same deutz fahr italia spa,italy,mfg farm machinery/equipment (3523),corporation
322,322,"via giovanni battista pergolesi 25, milano, 20124, milano, italy",2000,h-it0067273181,wholesale trade,agora' network soc cons.rl,italy,whol non durable goods (5199),corporation
323,323,"via de marini 1, genova, 16149, genova, italy",1938,h-it0075600137,"finance, insurance, and real estate",erg spa,italy,holding company (6719),corporation
324,324,"via de marini 1, genova, 16149, genova, italy",2003,h-it0072354003,"transportation, communications, electric, gas, and sanitary services",erg power generation spa,italy,electric services (4911),corporation
325,325,"via martin piaggio 17/4, genova, 16122, genova, italy",2004,h-it0007816189,"finance, insurance, and real estate",san quirico spa,italy,holding company (6719),corporation
326,326,"viale delle industrie snc, vimodrone, 20055, milano, italy",1984,h-it0070625298,retail trade,unes maxi spa,italy,ret groceries (5411),corporation
327,327,"via bolladore 64, sondalo, 23035, sondrio, italy",2019,h-it0217081009,retail trade,iperal supermercati spa,italy,ret groceries (5411),corporation
328,328,"via dei campi della rienza 30, brunico, 39031, bolzano, italy",1956,h-it0018652387,wholesale trade,rosenbauer international ag,italy,whol auto parts/supplies (5013),foreign company
329,329,"galleria camillo benso conte di cavour 4, bologna, 40124, bologna, italy",1987,h-it0071579257,"finance, insurance, and real estate",turytes spa,italy,holding company (6719),corporation
330,330,"piazza iv novembre 7, milano, 20124, milano, italy",2020,h-it0291923964,"finance, insurance, and real estate",alliancebernstein (luxembourg) s.a' rl,italy,misc business credit institutions (6159),foreign company
331,331,"frazione masio 24, poirino, 10046, torino, italy",2001,h-it0068400934,manufacturing,denso thermal systems spa,italy,mfg refrigeration/heating equipment (3585),corporation
332,332,"via nelson mandela 4, vercelli, 13100, vercelli, italy",1989,h-it0055387381,retail trade,nova coop soc coop,italy,ret groceries (5411),corporation
333,333,"via giulio vincenzo bona 101, roma, 00156, roma, italy",2003,h-it0074280767,"transportation, communications, electric, gas, and sanitary services",green network spa,italy,electric services (4911),corporation
334,334,"viale monte grappa 3/5, milano, 20124, milano, italy",2016,h-it0051956802,"transportation, communications, electric, gas, and sanitary services",amazon italia transport srl,italy,transportation services (4789),corporation
335,335,"via jacopo da diacceto 48, firenze, 50123, firenze, italy",1984,h-it0014969920,"finance, insurance, and real estate",findomestic banca spa,italy,misc business credit institutions (6159),corporation
336,336,"via delle primule 5, cogliate, 20815, monza e brianza, italy",1987,h-it0000836494,retail trade,prenatal retail group spa ovvero in abbreviato pnt retail gr oup spa o prg spa,italy,ret hobbies/toys/games (5945),corporation
337,337,"via michele coppino 104, viareggio, 55049, lucca, italy",1974,h-it0010257845,manufacturing,azimut - benetti spa,italy,boat building/repairing (3732),corporation
338,338,"lungadige galtarossa 8, verona, 37133, verona, italy",1999,h-it0061888974,"transportation, communications, electric, gas, and sanitary services",agsm aim energia spa,italy,electric services (4911),corporation
339,339,"via vezza d'oglio 7, milano, 20139, milano, italy",2016,h-it0052284743,"finance, insurance, and real estate",fif holding spa,italy,holding company (6719),corporation
340,340,"via rochdale 5, reggio emilia, 42122, reggio emilia, italy",1975,h-it0059947489,services,coopservice societa' cooperativa per azioni,italy,building maintenance services (7349),corporation
341,341,"via martiri di cefalonia 67, san donato milanese, 20097, milano, italy",2008,h-it0002212226,services,servizi energia italia spa,italy,engineering services (8711),corporation
342,342,"galleria guglielmo marconi 1, bologna, 40122, bologna, italy",2017,h-it0054930944,"finance, insurance, and real estate",bonfi srl,italy,holding company (6719),corporation
343,343,"via clementino bonfiglioli 1, calderara di reno, 40012, bologna, italy",1967,h-it0035479205,"finance, insurance, and real estate",bonfiglioli spa,italy,holding company (6719),corporation
344,344,"via giuseppe verdi 6, san pietro mosezzo, 28060, novara, italy",2010,h-it0007067275,services,elecnor sa,italy,repair services (7699),foreign company
345,345,"via gian carlo clerici 342, bresso, 20091, milano, italy",1980,h-it0068420188,retail trade,rialto spa,italy,ret groceries (5411),corporation
346,346,"via venezia 1, trebaseleghe, 35010, padova, italy",1975,h-it0074590448,retail trade,industries spa,italy,ret family clothing (5651),corporation
347,347,"via pantano 28, milano, 20122, milano, italy",1979,h-it0041217519,retail trade,riva azzurra spa,italy,ret groceries (5411),corporation
348,348,"via antonio sant'elia zona industriale snc, corato, 70033, bari, italy",1993,h-it0002240947,wholesale trade,casillo commodities italia spa,italy,whol grain/field beans (5153),corporation
349,349,"via taranto 40, nola, 80035, napoli, italy",2012,h-it0018316182,"finance, insurance, and real estate",ludoil energy spa,italy,holding company (6719),corporation
350,350,"via palesella 1, cerea, 37053, verona, italy",1980,h-it0029146542,retail trade,supermercati tosano cerea srl,italy,ret groceries (5411),corporation
351,351,"via pinerolo 44, airasca, 10060, torino, italy",1980,h-it0011941758,manufacturing,skf industrie spa,italy,mfg power transmission equipment (3568),corporation
352,352,"via carlo donat cattin 5, cernusco sul naviglio, 20063, milano, italy",1964,h-it0044646682,wholesale trade,hp italy srl,italy,whol computers/peripherals (5045),corporation
