,name,country,sector,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue_2017_euro,number_of_employees_2020,number_of_employees_2017,founding_year
598,Engenie Group,Italy,Technology,262.60,53.63,"2,025,040","558,480",9,1,2017
599,Groupe N.A.T,France,Support Services,261.42,53.46,"4,180,122","1,156,596",64,25,2016
600,La Sarraz Pictures,Italy,Media,260.90,53.39,"1,513,710","419,430",5,2,2015
601,Smart-Planet,Germany,Retail,260.22,53.29,"4,598,207","1,276,483",9,5,2016
602,Sidea Group,Italy,Management Consulting,260.17,53.29,"2,429,590","674,560",49,8,2015
603,COUTEAUJAPONAIS.COM,France,Retail,259.83,53.24,"4,579,102","1,272,558",17,5,2004
604,PHYSIDIA,France,Health,259.66,53.21,"16,746,545","4,656,191",58,20,2010
605,Horando Deutschland,Germany,Retail,259.32,53.17,"8,111,269","2,257,390",3,2,2013
606,"Diablochairs, Jan Nowak",Poland,Ecommerce,259.15,53.14,"21,520,495","6,549,376",79,22,2004
607,Parkster,Sweden,Technology,258.92,53.11,"55,139,984","15,711,602",28,16,2011
608,BIOTYFULL,France,Ecommerce,258.88,53.10,"20,248,436","5,642,145",13,5,2015
609,Bioksan,Spain,Food & Beverage,258.30,53.02,"5,914,732","1,650,756",51,14,2014
610,Trippel,Norway,Support Services,258.05,52.98,"3,057,807","910,070",118,37,1999
611,Yourparkingspace Limited,UK,Technology,257.60,52.92,"13,863,431","3,904,618",32,15,2013
612,Carslift,France,Automobiles,257.42,52.89,"2,226,659","622,989",35,1,2012
613,Zimmerei Nordmann,Germany,Construction,257.35,52.89,"2,074,577","580,537",11,5,2009
614,SI Silicone Innovation,Germany,Industrial Goods,257.32,52.88,"3,640,511","1,018,843",40,20,2015
615,A.U.E. Genc Warenhandels-UG,Germany,Retail,256.90,52.82,"19,890,000","5,573,000",12,8,2010
616,MGvision,Italy,Advertising,255.81,52.66,"4,010,560","1,127,170",18,10,2010
617,New General Service,Italy,Support Services,255.07,52.56,"1,539,360","433,540",26,13,2015
618,ANDRE RENOVATION,France,Construction,254.93,52.54,"11,594,389","3,266,703",41,15,2010
619,M.D.G. Components Unipersonale,Italy,Industrial Goods,254.41,52.46,"2,283,970","644,440",14,10,2017
620,Amco-Bulgaria,Bulgaria,Retail,254.20,52.43,"6,298,606","1,778,274",22,5,2011
621,Symprove,UK,Personal & Household Goods,254.09,52.42,"12,298,843","3,498,275",39,16,2005
622,Tecknuovo,UK,Technology,253.87,52.39,"26,273,556","7,477,852",22,10,2015
623,Platform.sh,France,Technology,253.68,52.36,"22,077,678","6,242,232",217,62,2010
624,ISG Express Logistik,Germany,Transport,253.68,52.36,"5,822,692","1,646,307",46,5,2011
625,Manelli Impresa,Italy,Construction,253.65,52.36,"43,355,980","12,259,540",173,55,2008
626,SA Formação,Portugal,Education,253.55,52.34,"3,647,652","1,031,733",53,22,2009
627,SM SektManufaktur,Germany,Industrial Goods,253.35,52.31,"2,408,586","681,652",14,3,2015
628,Beauty Consult Deutschland,Germany,Health,253.11,52.28,"3,725,665","1,055,100",31,8,2011
629,Finauto,Italy,Automobiles,251.91,52.10,"11,789,870","3,350,270",8,5,1977
630,AuCOFFRE.com,France,Financial Services,251.66,52.07,"114,037,838","32,428,296",21,18,2009
631,Divido,UK,Fintech,251.57,52.06,"3,786,036","1,084,616",46,37,2014
632,R&K Ingenieure,Germany,Construction,251.56,52.05,"5,210,500","1,482,100",17,6,2016
633,Nephos Technologies,UK,Technology,251.48,52.04,"17,559,447","5,031,697",25,11,2011
634,La Vida,UK,Support Services,250.06,51.84,"7,572,128","2,178,629",15,8,2002
635,Midstream Lighting,UK,Technology,249.64,51.78,"8,204,844","2,363,526",12,4,2012
636,PROPULSE IT,France,Technology,249.58,51.77,"6,326,861","1,809,858",2,2,2014
637,Additius Santa Maria,Spain,Agricultural Commodities,248.98,51.68,"31,757,362","9,100,083",30,25,2012
638,CONEXIO TELECOM,France,Telecoms,248.88,51.67,"1,908,640","547,084",15,3,2017
639,Tripin,Germany,Retail,248.43,51.60,"5,465,080","1,568,506",9,5,2012
640,Continental Wood Kft.,Hungary,Industrial Goods,247.28,51.43,"2,724,073","910,973",9,4,1996
641,GeoTeam,Italy,Energy,247.20,51.42,"7,623,730","2,195,780",120,71,2008
642,Leascorp,France,Financial Services,247.05,51.40,"18,481,247","5,325,214",7,4,2014
643,Positive Healthcare,UK,Management Consulting,246.88,51.38,"6,731,831","1,954,609",19,3,2014
644,Ralph Schmolke,Germany,Retail,246.63,51.34,"2,281,929","658,317",8,4,2010
645,Roomie Milano,Italy,Property,245.48,51.17,"3,728,920","1,079,340",10,2,2016
646,Trencadis Corp,Romania,Technology,245.45,51.17,"20,410,511","6,137,755",89,40,2007
647,WORTEKS,France,Technology,245.44,51.17,"1,870,845","541,582",11,4,2016
648,REMOVE,France,Construction,244.64,51.05,"8,988,475","2,608,093",74,27,2015
649,Citadelo,Czech Republic,Cyber Security,243.94,50.95,"1,556,521","452,557",27,15,2006
650,Grill Autoservice,Germany,Automobiles,243.36,50.86,"18,141,216","5,283,415",26,13,2017
651,Inbrooll,Spain,Industrial Goods,243.07,50.82,"2,663,110","776,268",15,8,2013
652,Cross,Germany,Retail,242.59,50.75,"88,590,000","25,858,983",4,3,2010
653,B1gas S.p.A,Italy,Energy,242.58,50.75,"41,474,660","12,106,480",6,2,2010
654,Filva,Italy,Construction,242.17,50.69,"6,188,900","1,808,710",10,8,2009
655,Archingest,Italy,Construction,241.26,50.56,"3,515,000","1,030,000",6,2,2005
656,Alpha FX Group,UK,Financial Services,241.26,50.55,"51,640,733","15,241,075",124,51,2009
657,lemonads,Switzerland,Advertising,241.12,50.53,"4,952,255","1,451,770",50,7,2012
658,Signicat,Norway,Technology,240.39,50.43,"42,514,150","13,309,441",213,71,2007
659,Alfred Döpker,Germany,Construction,240.33,50.42,"77,358,225","22,730,529",55,41,1965
660,Bavaria-Ei,Germany,Retail,240.06,50.38,"13,067,279","3,842,670",88,42,2001
661,Oxylabs.io,Lithuania,Technology,239.23,50.26,"25,040,954","7,381,686",245,57,2015
662,A.S.H. Automobile,Germany,Automobiles,239.19,50.25,"2,333,452","687,958",5,2,2014
663,Vascular,Hungary,Health,238.38,50.13,"29,099,679","9,987,236",57,18,2007
664,ANDJARO,France,Support Services,237.95,50.07,"3,189,298","943,718",57,30,2015
665,Röhrtaler Wertstoff,Germany,Waste management & recycling,237.58,50.01,"3,286,187","973,460",34,22,2013
666,Autel Karnetic,UK,Technology,237.43,49.99,"8,520,830","2,543,343",7,6,2016
667,Discoup.com,Italy,Advertising,236.58,49.86,"2,075,110","616,520",10,8,2013
668,Hellas Direct,Cyprus,Insurance,236.55,49.86,"34,488,971","10,247,832",85,52,2011
669,HERRLES,Germany,Automobiles,236.46,49.85,"10,242,075","3,044,054",45,30,2009
670,Investmentpunk Academy,Austria,Education,235.69,49.73,"3,179,000","947,000",12,6,2016
671,Born Stahlbau,Germany,Industrial Goods,235.05,49.64,"4,527,093","1,351,164",13,6,2015
672,RETTEL Projektbau,Germany,Construction,234.97,49.62,"8,073,458","2,410,212",7,5,2016
673,Suntronic,Italy,Energy,234.87,49.61,"2,347,320","700,960",4,2,2005
674,TMT,Italy,Industrial Goods,234.84,49.60,"12,763,524","3,811,838",42,6,2014
675,Gedankenburg,Germany,Advertising,234.74,49.59,"2,950,010","881,275",5,2,2015
676,SVOP Special Vehicle Operation,Sweden,Automobiles,234.07,49.49,"4,526,309","1,385,662",16,6,2013
677,Glenholme Healthcare Group,UK,Health,234.00,49.48,"14,845,073","4,476,517",415,132,2011
678,AUDENSIEL,France,Technology,233.96,49.47,"57,451,279","17,203,160",720,230,2013
679,Ivnosys,Spain,Technology,233.95,49.47,"8,743,069","2,618,069",106,34,2011
680,Mulconsa,Spain,Construction,233.87,49.46,"6,687,402","2,002,982",45,30,2012
681,50NRTH,Germany,Retail,233.75,49.44,"35,107,348","10,518,963",54,14,2004
682,Delecto,Croatia,Retail,233.68,49.43,"2,649,288","793,957",10,6,2008
683,Mardruk Opakowania,Poland,Industrial Goods,233.32,49.38,"3,226,645","1,058,063",47,7,2015
684,MANANG,France,Construction,233.23,49.36,"6,205,559","1,862,272",40,15,2012
685,bestbion dx,Germany,Health,233.18,49.36,"14,863,628","4,461,170",27,21,2011
686,Avamore Capital,UK,Financial Services,232.57,49.27,"2,552,248","772,943",21,7,2015
687,Solaris and more,Germany,Energy,231.75,49.14,"4,692,660","1,414,501",30,13,2011
688,Clearcycle,UK,Retail,231.73,49.14,"2,176,368","660,767",11,8,2015
689,Opteamis,France,Support Services,231.45,49.10,"13,856,500","4,180,523",35,12,2005
690,Codenor,Spain,Construction,231.36,49.08,"6,385,196","1,926,967",20,10,2010
691,HAPPYBULLE,France,Ecommerce,231.14,49.05,"4,209,975","1,271,353",18,8,2015
692,Aurora Energy Research,UK,Energy,231.05,49.04,"15,079,425","4,587,687",158,46,2013
693,Bacci,Spain,Fashion,231.00,49.03,"24,048,302","7,265,350",14,19,2003
694,Emilia Foods,Italy,Food & Beverage,230.75,48.99,"26,824,140","8,110,160",25,8,2013
695,T.E.A.M. - Ti educa a migliorare,Italy,Health,230.22,48.91,"3,370,490","1,020,690",211,82,2001
696,Brainhub,Poland,Technology,230.16,48.90,"3,513,741","1,163,241",75,30,2016
697,Assitech,Italy,Construction,230.03,48.89,"2,675,750","810,750",9,10,2016
698,Schott Packaging,UK,Ecommerce,229.61,48.82,"2,272,847","694,501",11,4,2016
699,Alba,Italy,Energy,229.36,48.78,"3,299,330","1,001,740",30,12,2010
700,FinTrU,UK,Financial Services,229.03,48.73,"32,392,546","9,915,609",740,219,2013
701,Global Edilizia,Italy,Construction,228.55,48.66,"4,028,000","1,226,000",5,4,2011
702,TPXimpact,UK,Management Consulting,228.30,48.62,"57,093,437","17,515,305",381,2,2016
703,LGS SportLab,Italy,Advertising,228.26,48.62,"4,014,220","1,222,870",9,6,2010
704,Weiser Brandschutz & Technik,Germany,Construction,227.87,48.56,"5,986,199","1,825,769",45,4,2005
705,Fairfax and Favor,UK,Fashion,226.81,48.40,"18,178,322","5,602,279",47,13,2013
706,FAO Consulting,France,Technology,226.39,48.34,"7,781,600","2,384,156",85,39,2014
707,Gruppo Del Barba Consulting,Italy,Financial Services,226.35,48.33,"5,855,040","1,794,120",37,8,2010
708,Exclaimer,UK,Technology,226.05,48.28,"26,143,857","8,075,796",109,62,2003
709,Join Business Management Consulting,Italy,Management Consulting,225.69,48.23,"10,189,790","3,128,700",77,25,2013
710,Vennes,Germany,Construction,225.10,48.14,"17,048,000","5,244,000",57,27,2003
711,Piggy,The Netherlands,Technology,225.06,48.13,"2,946,126","906,341",31,7,2013
712,Epassi,Finland,Fintech,224.82,48.10,"205,312,456","63,207,258",130,40,2007
713,Atheneum Partners,Germany,Technology,224.27,48.01,"33,400,000","10,300,000",315,150,2010
714,Pharmacy2U,UK,Technology,223.91,47.96,"156,232,906","48,580,102",454,211,1999
715,PHOENIX DEVELOPPEMENT,France,Support Services,223.16,47.85,"1,797,294","556,159",18,6,2011
716,Wiwie Transport,Germany,Transport,223.08,47.83,"4,200,000","1,300,000",25,10,2016
717,Mevas Auto Center,Romania,Automobiles,222.96,47.81,"2,595,034","834,708",31,23,2003
718,BK Beachhouse Mode,Germany,Retail,222.78,47.79,"5,172,479","1,602,458",35,21,2015
719,F.lli Urso,Italy,Construction,222.59,47.76,"2,009,090","622,800",9,3,2015
720,GoHenry,UK,Financial Services,222.24,47.70,"22,020,382","6,882,489",166,61,2011
721,Adrilog,Italy,Transport,221.85,47.64,"57,057,180","17,727,950",816,634,2014
722,Attachment,UK,Advertising,221.77,47.63,"7,191,249","2,250,946",6,2,2015
723,PARIS HERBES,France,Agricultural Commodities,221.73,47.63,"12,934,943","4,020,469",25,15,2015
724,Interlog Logistic,France,Transport,221.69,47.62,"5,480,946","1,703,819",28,37,2015
725,Conglomerati Bituminosi,Italy,Construction,221.08,47.53,"33,371,870","10,393,680",75,34,1975
726,Nikkel Art,Belgium,Ecommerce,220.83,47.49,"3,762,160","1,172,617",26,5,2010
727,Esyen,Italy,Technology,220.60,47.45,"3,868,940","1,206,770",25,9,2011
728,Sav-eco Packaging Ltd,UK,Industrial Goods,220.27,47.40,"16,923,940","5,322,238",165,104,2014
729,Elmar Mair Tiefbau,Germany,Construction,219.98,47.36,"2,302,685","719,638",19,8,2016
730,ATLAS Innovative Engineering,Spain,Energy,219.37,47.26,"3,495,981","1,094,666",15,12,2014
731,SECURE-IC,France,Technology,219.33,47.26,"6,934,182","2,171,492",76,48,2010
732,DATALYO,France,Technology,218.82,47.18,"3,544,255","1,111,687",36,16,2014
733,Signify Technology,UK,Management Consulting,218.78,47.17,"2,547,992","805,029",29,14,2016
734,BOXT,UK,Ecommerce,218.69,47.16,"38,373,430","12,127,395",59,20,2017
735,James and James Fulfilment,UK,Ecommerce,218.67,47.16,"30,887,883","9,762,332",158,55,2010
736,Armonie,Italy,Food & Beverage,218.66,47.16,"2,803,150","879,670",9,5,2014
737,Maverick Group,Italy,Technology,217.27,46.94,"5,313,290","1,674,690",5,1,2017
738,Brainpull,Italy,Advertising,217.21,46.93,"4,264,120","1,344,240",29,10,2012
739,Wiseband,France,Media,217.08,46.91,"1,636,674","516,164",15,4,2014
740,Groupe Ezdo La Boulangerie Des Gourmets,France,Agricultural Commodities,216.91,46.89,"40,777,823","12,867,410",15,4,2013
741,Pakar Service,Poland,Support Services,216.15,46.77,"9,729,642","3,363,800",396,257,2010
742,BIO-UV,France,Industrial Goods,216.03,46.75,"32,175,000","10,181,000",117,62,2000
743,F.G. Service,Italy,Construction,215.54,46.67,"2,554,140","809,450",14,2,2015
744,Allways Logistics System,Italy,Transport,215.48,46.66,"9,569,120","3,033,150",125,2,2012
745,Matsmart,Sweden,Ecommerce,215.40,46.65,"49,576,899","16,075,963",164,75,2013
746,autargo,Germany,Construction,215.35,46.64,"1,807,173","573,070",5,2,2016
747,Brewshop.no,Norway,Food & Beverage,215.26,46.63,"4,392,988","1,484,883",9,7,2015
748,Visualitics,Italy,Technology,215.24,46.63,"2,131,000","676,000",15,3,2016
749,HiFi extra,Germany,Retail,215.10,46.61,"49,190,436","15,610,826",32,14,2016
750,Ankerkraut,Germany,Food & Beverage,214.45,46.50,"26,010,474","8,271,702",150,70,2013
751,GDA,Italy,Fashion,213.62,46.37,"20,745,690","6,615,000",205,98,2008
752,Nexid,Italy,Technology,213.53,46.36,"2,696,270","859,960",25,9,2006
753,GS Studio & Service,Italy,Energy,213.26,46.32,"2,087,000","666,210",16,7,2013
754,Neosperience,Italy,Technology,213.00,46.28,"16,367,000","5,229,000",160,60,2006
755,Lunos,Slovenia,Technology,212.89,46.26,"6,356,404","2,031,522",16,11,2010
756,Meic Costruzioni,Italy,Construction,212.86,46.26,"10,456,300","3,342,120",71,39,2013
757,Trident Lifting Solutions Ltd,UK,Construction,212.60,46.22,"15,846,632","5,105,700",14,12,2016
758,Smart Battery Solutions,Germany,Technology,212.59,46.22,"10,203,000","3,264,000",69,28,2010
759,eu-bay Commerce,Germany,Retail,212.23,46.16,"8,122,686","2,601,485",20,10,2003
760,Jens Rabe Academy,Germany,Education,212.06,46.13,"3,655,345","1,171,373",20,6,2009
761,Hyperoptic,UK,Telecoms,211.97,46.12,"57,766,084","18,649,681",1251,407,2010
762,SEPALE,France,Energy,211.33,46.02,"7,879,983","2,531,055",21,2,2009
763,3A Informatica,Italy,Telecoms,210.73,45.92,"1,970,000","633,990",33,19,2005
764,EMSPROTO,France,Ecommerce,210.64,45.91,"3,136,947","1,009,846",22,10,2014
765,Laboratoires Dermosun,France,Chemicals & Pharmaceuticals,209.88,45.79,"5,626,849","1,815,835",13,9,2011
766,Saico,Italy,Construction,209.36,45.71,"6,737,600","2,177,950",23,13,2013
767,Nutis,Italy,Food & Beverage,209.01,45.66,"6,566,530","2,124,990",19,9,1956
768,Ogrodosfera.pl,Poland,Ecommerce,208.73,45.61,"13,256,472","4,693,330",23,12,2011
769,SVTI,France,Industrial Goods,208.55,45.58,"3,981,300","1,290,312",30,17,2010
770,Enhancers,Italy,Technology,208.24,45.53,"3,352,210","1,087,520",38,13,2011
771,AGRIPOWER FRANCE,France,Waste management & recycling,208.20,45.53,"7,701,275","2,498,792",16,6,2012
772,Next Turbo Technologies,Italy,Industrial Goods,207.77,45.46,"9,481,040","3,080,610",18,8,2014
773,Velvet Media Italia,Italy,Advertising,207.54,45.42,"5,411,160","1,759,490",98,46,2013
774,Booster Box,Italy,Advertising,206.87,45.32,"2,049,365","667,837",35,9,2016
775,RMF Group,Slovakia,Food & Beverage,206.86,45.32,"3,289,892","1,072,117",2,3,2014
776,Darwin Group Limited,UK,Construction,206.37,45.24,"70,393,894","23,141,358",140,89,2005
777,ITFS,Poland,Technology,206.10,45.20,"10,446,862","3,730,405",230,90,2012
778,SKILLSDAY,France,Education,205.70,45.13,"3,154,795","1,031,988",25,9,2015
779,Gapps,Finland,Technology,205.51,45.10,"8,707,000","2,850,000",34,23,2010
780,Maxfel,Italy,Interiors,205.44,45.09,"2,201,160","720,650",15,6,1984
781,Herrero Brigantina,Spain,Insurance,204.74,44.98,"14,725,853","4,832,212",55,33,2012
782,Manitech,Italy,Industrial Goods,203.53,44.79,"3,834,910","1,263,420",6,3,2016
783,Tradeco,Italy,Industrial Goods,202.87,44.68,"5,889,890","1,944,720",16,6,2016
784,MON CHASSEUR IMMO,France,Property,202.35,44.60,"4,794,423","1,585,727",28,13,2012
785,UpSlide,France,Support Services,202.23,44.58,"8,274,214","2,737,704",75,20,2013
786,COGECLIM ENERGIES,France,Construction,201.99,44.54,"2,622,506","868,406",18,5,2015
787,Cellarius,Hungary,Sales & Marketing,201.67,44.49,"2,571,079","989,785",14,10,2004
788,careful-service,Germany,Health,201.37,44.44,"3,537,769","1,173,908",141,75,2014
789,Softneta,Lithuania,Health,201.07,44.40,"1,778,249","590,642",30,24,2007
790,Progeny,UK,Financial Services,200.64,44.33,"16,601,337","5,561,585",161,64,2016
791,Web Geo Services,France,Technology,200.58,44.32,"24,114,000","8,022,358",57,29,2009
792,Spedition Ibov,Germany,Transport,200.43,44.29,"3,424,863","1,140,000",None,None,2013
793,MyPostcard.com,Germany,Retail,200.06,44.23,"6,358,307","2,119,022",25,21,2014
794,VARIOSAN,Germany,Retail,199.77,44.19,"3,233,968","1,078,808",3,2,2013
795,Riedle + Bertsch,Germany,Technology,199.75,44.18,"2,331,579","777,849",36,8,2013
796,Mobili Fiver,Italy,Interiors,199.43,44.13,"11,897,820","3,973,460",50,23,1999
797,KLC DESAMIANTAGE,France,Construction,199.36,44.12,"6,182,419","2,065,220",46,11,2015
798,SECRET ARTS OF SPIRITS,France,Retail,199.23,44.10,"3,308,224","1,105,569",6,3,2014
799,MPB Group Limited,UK,Ecommerce,198.91,44.05,"72,503,245","24,429,686",184,68,2011
800,3zehn Auto Discount,Germany,Automobiles,198.41,43.97,"25,448,057","8,527,777",12,5,2016
801,ADIKTEEV,France,Technology,198.30,43.95,"45,616,000","15,292,051",67,50,2012
802,Fundis Reitsport,Germany,Retail,198.07,43.92,"7,066,208","2,370,645",50,3,2009
803,Antriebstechnik Ebner-Seibold,Germany,Retail,198.06,43.91,"2,245,423","753,352",17,9,2009
804,Invibes Advertising,Belgium,Technology,197.11,43.76,"11,530,000","3,880,663",102,30,2011
805,Jointly il welfare condiviso,Italy,Support Services,196.84,43.72,"2,400,550","808,700",34,18,2014
806,ABTOT Mark & Anläggning AB,Sweden,Construction,195.91,43.57,"9,983,094","3,450,305",23,10,2012
807,DUSAPRO Immobilien,Germany,Property,195.21,43.45,"33,903,865","11,484,801",36,10,2012
808,SOLDATS FILMS,France,Media,194.81,43.39,"2,320,653","787,160",8,4,2012
809,Eagleprojects,Italy,Telecoms,194.68,43.37,"15,140,480","5,137,900",287,120,2016
810,Agile Lab,Italy,Technology,194.60,43.35,"5,590,450","1,897,650",43,15,2013
811,importpris.no,Norway,Ecommerce,194.37,43.32,"3,113,197","1,126,971",8,4,2012
812,truu,Germany,Industrial Goods,193.76,43.22,"12,472,561","4,245,861",72,18,2011
813,L’Atelier,France,Technology,193.45,43.17,"4,288,024","1,461,226",15,5,2016
814,frigoclim Kälte-Klima,Germany,Construction,193.40,43.16,"3,890,690","1,326,082",22,7,2014
815,M Coffee Company,Germany,Retail,192.95,43.09,"2,117,442","722,795",5,3,2013
816,PROTEXTYL,France,Retail,192.85,43.07,"5,324,116","1,818,032",22,12,2011
817,SP architecte,France,Construction,192.84,43.07,"2,825,876","964,998",18,14,2009
818,Embargos a lo bestia,Spain,Retail,192.62,43.03,"22,559,217","7,709,375",178,54,2011
819,Snigel,Ireland,Technology,192.57,43.02,"20,479,764","7,000,063",3,2,2011
820,IMS Rettungsdienst,Germany,Health,192.31,42.98,"1,900,000","650,000",120,5,2006
821,Way2Global SB,Italy,Support Services,190.97,42.76,"2,411,600","828,820",16,1,2017
822,Media Access Solutions,UK,Support Services,190.48,42.68,"3,407,930","1,181,642",33,3,2014
823,Exadi,Spain,Sales and Marketing,190.28,42.65,"42,525,086","14,649,568",44,21,2008
824,Fiber-Service-Gesellschaft,Germany,Telecoms,190.17,42.63,"4,049,655","1,395,607",29,10,2014
825,TenderHut (Group),Poland,Technology,190.02,42.61,"10,264,611","3,868,483",280,140,2010
826,Worldwide Fishing Company,Spain,Food & Beverage,189.88,42.58,"140,442,673","48,449,141",30,12,2016
827,Doctor Hail spa,Italy,Automobiles,189.78,42.57,"18,101,114","6,246,592",43,26,2013
828,KBS Group,Germany,Support Services,189.70,42.55,"42,006,000","14,500,000",1500,650,2011
829,Terre Ehitus,Estonia,Construction,188.94,42.43,"2,089,215","723,064",12,5,2017
830,Bauer Energiekonzepte,Germany,Energy,188.54,42.36,"36,223,730","12,554,325",19,7,2013
831,New Euroart,Italy,Construction,188.49,42.36,"9,307,640","3,226,280",77,26,2001
832,Capelli For You,Italy,Beauty,188.42,42.34,"1,658,750","575,120",16,8,2015
833,Ogury,UK,Advertising,188.32,42.33,"108,758,853","37,992,902",371,133,2014
834,TFT Ernst,Germany,Construction,188.19,42.31,"2,012,427","698,300",17,7,2017
835,Somerford Associates,UK,Technology,187.81,42.24,"18,757,685","6,564,162",55,31,2001
836,ARCADIA Investment,Germany,Property,187.45,42.19,"8,102,218","2,818,652",38,12,2012
837,FiloBlu,Italy,Management Consulting,187.14,42.13,"55,564,420","19,351,090",186,112,2009
838,Tribus Digital,UK,Technology,186.89,42.09,"1,952,800","685,567",21,8,2016
839,DoIT,Italy,Technology,186.79,42.08,"3,040,000","1,060,000",35,20,2014
840,Global Perspectives,UK,Health,186.71,42.06,"6,631,496","2,329,522",23,8,2009
841,Pirene,Italy,Support Services,186.54,42.04,"1,512,680","527,910",25,8,1999
842,iPulse,UK,Personal & Household Goods,186.27,41.99,"105,149,602","36,995,102",183,39,2012
843,blue networks,Germany,Technology,185.36,41.84,"6,626,713","2,322,241",47,23,2002
844,N. Schwegler,Germany,Construction,185.24,41.82,"10,514,000","3,686,000",35,20,2009
845,Marcus Lutz Bau,Germany,Construction,184.26,41.66,"1,874,438","659,402",15,7,2002
846,HKR-Technik,Germany,Retail,184.14,41.64,"6,996,880","2,462,478",4,3,2008
847,Licht + Strom,Germany,Technology,183.54,41.54,"4,039,340","1,424,633",30,18,2007
848,Die Autowelt,Germany,Automobiles,183.23,41.49,"16,754,654","5,915,499",40,15,2009
849,ARTHEAU AVIATION,France,Aerospace & Defence,183.17,41.48,"11,263,318","3,977,562",9,4,2012
850,Cepo,Italy,Industrial Goods,182.86,41.42,"4,503,670","1,592,170",22,13,2000
851,Sneakers & Jackets,France,Financial Services,182.41,41.35,"2,888,273","1,022,714",2,1,2013
852,89up,UK,Advertising,182.41,41.35,"1,814,237","647,020",26,11,2009
853,LUXURY & PERFORMANCE SELECTION,France,Automobiles,182.39,41.35,"6,444,045","2,281,929",4,None,2016
854,Grayce Group,UK,Management Consulting,182.36,41.34,"17,890,928","6,381,674",395,117,2012
855,Nemesi Italia,Italy,Technology,182.02,41.28,"1,640,000","581,520",4,1,1993
856,Halo Service Solutions,UK,Technology,181.97,41.28,"5,037,087","1,799,189",40,12,1994
857,Raspberry Pi,UK,Technology,181.29,41.16,"80,066,074","28,668,484",73,36,2012
858,Giopato & Coombes,Italy,Interiors,181.27,41.16,"5,467,910","1,944,000",17,8,2010
859,Ship it,Germany,Retail,180.95,41.10,"3,391,041","1,207,009",8,4,2016
860,Rheinische Scheidestätte,Germany,Retail,180.89,41.10,"83,044,963","29,564,866",47,19,2012
861,Whites Agency,Poland,Advertising,180.88,41.09,"4,076,348","1,586,246",90,34,2011
862,Casa di Riposo Medicalizzata Sempione*,Italy,Health,180.66,41.06,"2,436,000","867,960",38,1,2017
863,CShark,Poland,Technology,180.55,41.04,"11,828,515","4,608,343",269,135,2014
864,Zinox Laser,Italy,Interiors,180.41,41.02,"6,364,000","2,269,510",47,30,2015
865,Tera Automation,Italy,Industrial Goods,180.39,41.01,"4,987,860","1,778,890",20,14,2013
866,Innova Hts,Italy,Health,180.22,40.98,"8,792,400","3,137,630",16,12,2014
867,Kentigen,Czech Republic,Technology,179.79,40.91,"1,507,867","554,004",20,8,2013
868,Teal Partners,Belgium,Technology,179.35,40.84,"3,873,750","1,386,701",23,13,2015
869,LM Medical Division,Italy,Health,179.23,40.82,"11,281,040","4,040,060",47,16,2010
870,BEC,Germany,Technology,179.21,40.81,"7,843,183","2,809,036",47,25,2003
871,Xylon,Croatia,Technology,178.97,40.77,"4,491,888","1,610,149",81,41,1995
872,Spedition Kai Rindert,Germany,Transport,178.52,40.70,"3,018,684","1,083,821",9,2,2017
873,CO.GE.SA. Costruzioni Generali Saba,Italy,Construction,178.13,40.63,"3,453,730","1,241,760",22,16,2009
874,Skärgårdstunnan/Skargards,Sweden,Ecommerce,178.05,40.62,"15,082,088","5,547,537",20,13,2010
875,Autonova Milano,Italy,Automobiles,177.33,40.50,"2,790,680","1,006,280",14,1,2015
876,Polarstern,Germany,Energy,177.06,40.45,"30,270,074","10,925,375",40,25,2011
877,halsdorfer + ingenieure projekt,Germany,Property,176.94,40.43,"31,038,460","11,207,566",15,5,2013
878,OPNA,France,Support Services,176.53,40.36,"2,317,903","838,200",23,9,2015
879,Stikets,Spain,Ecommerce,176.29,40.32,"9,318,626","3,372,820",39,25,2010
880,CampuStore,Italy,Education,175.75,40.23,"34,410,600","12,479,120",18,18,1994
881,Ars Futura,Croatia,Technology,175.70,40.22,"1,580,154","574,487",27,14,2013
882,Cemir Security,Italy,Support Services,175.61,40.21,"2,835,330","1,028,730",116,64,2015
883,Borgy CZ,Czech Republic,Personal & Household Goods,175.59,40.20,"22,419,033","8,362,568",60,40,2009
884,Groupe Zephyr,France,Health,175.27,40.15,"16,264,645","5,908,517",600,190,2007
885,Dernier Cri,France,Technology,175.07,40.11,"3,956,061","1,438,184",57,25,2015
886,yes!devs,Germany,Technology,175.00,40.10,"2,200,000","800,000",37,10,2016
887,Hydroflex Group,Germany,Retail,174.98,40.10,"13,166,000","4,788,000",36,19,2009
888,Proteko Service,Italy,Support Services,174.64,40.04,"5,502,450","2,003,540",31,7,2016
889,MiniCRM,Hungary,Technology,174.60,40.03,"2,232,347","944,107",26,26,2012
890,CNQ Consorzio Nazionale Qualità,Italy,Waste management & recycling,174.56,40.03,"2,151,050","783,460",39,13,2001
891,Accolade,Czech Republic,Property,174.26,39.98,"83,981,636","31,477,723",None,None,2010
892,Panel Sandwich,Spain,Construction,174.00,39.93,"9,637,845","3,517,519",27,9,2009
893,SYMBIOSE Informatique,France,Technology,173.97,39.93,"33,080,096","12,074,454",32,28,1991
