id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
56196,mahindra & mahindra,india,"mahindra towers, dr.g.m.bhosale marg, worli, mumbai, 400018",1945.0,250000.0,doll_1.9600000000000002 b,doll_0.011172000000000001 b,doll_0.823 b,"['consumer cyclical', 'automobile']",anish shah,
35,maruti suzuki,,,1983.0,,,,,['automobile'],,
148833,mphasis,india,,1998.0,26398.0,doll_0.475 b,doll_0.00126 b,doll_0.179 b,"['technology', 'software and it', 'software products']",not found,
65,mindtree,india,,1999.0,,doll_0.6980000000000001 b,doll_0.001317 b,doll_0.032 b,"['technology', 'software and it', 'consulting services']",not found,global village tech park
152228,mahindra & mahindra financial services,india,,1991.0,10000.0,doll_0.00281 b,doll_0.859 b,doll_0.142 b,['financial services'],not found,
88,max life insurance,,,2000.0,,,,,['insurance'],,
111,megha engineering & infrastructures,,,1989.0,,,,,['engineering & construction'],,
153408,manappuram finance,india,,1949.0,,doll_0.00188 b,doll_0.505 b,doll_0.166 b,['financial services'],not found,
127456,muthoot finance,india,"2 nd floor muthootchambers, opp saritha, kochi, 682018",1939.0,25554.0,doll_0.521 b,doll_0.099 b,doll_0.503 b,['financial services'],not found,
163,motherson sumi systems,,,1986.0,,,,,['auto components'],,
170,macleods pharmaceuticals,,,1986.0,,,,,['pharma'],,
92454,mcdonald's,united states,,1955.0,100000.0,doll_18.657 b,doll_2.322 b,doll_0.755 b,"['hotels, restaurants & leisure']",mr. christopher j. kempczinski,yuanlin
206,muthoot group,,,1887.0,,,,,['nbfc'],,
27332,maersk,denmark,,1904.0,,doll_3.7350000000000003 b,,,['ocean and inland freight transportation'],,copenhagen
217,mrf tyres,,,1946.0,,,,,['auto components'],,
271,mankind pharma,,,1995.0,,,,,['pharma'],,
275,max healthcare,,,2001.0,,,,,['healthcare'],,
298,micro labs,,,1973.0,,,,,['pharma'],,
314,mahindra rural housing finance,,,2007.0,,,,,['financial services'],,
318,mahindra holidays & resorts,,,1996.0,,,,,['hospitality'],,
26208,mahindra logistics,india,,,,doll_0.043 b,doll_0.06 b,doll_0.01192 b,['other'],,
359,myntra,,,2007.0,,,,,['retail'],,
417,msn laboratories,,,2003.0,,,,,['pharma'],,
94305,metlife,united states,,1868.0,43000.0,doll_5.642 b,doll_7.108 b,doll_0.655 b,"['financial services', 'insurance', 'asset management']",michel a. khalaf,
179620,metro,canada,,1973.0,90000.0,doll_1.308 b,doll_1.46 b,doll_0.6779 b,['travel & tourism'],eric richer la flèche,belfast
463,microland,,,1989.0,,,,,['it services & consulting'],,
473,mother dairy fruit & vegetable,,,1974.0,,,,,['food processing'],,
475,max fashion,,,2014.0,,,,,['healthcare'],,
480,motilal oswal financial services,india,,1987.0,4178.0,doll_0.185 b,doll_0.447 b,doll_0.164 b,"['financial services', 'stock markets, trading, capital markets']",not found,
512,medanta the medicity,,,2009.0,,,,,['healthcare'],,
517,motherson automotive technologies and engineering,,,1997.0,,,,,['auto components'],,
518,medi assist india,,,2000.0,,,,,['healthcare'],,
526,mercedes-benz research & development india,,,1996.0,,,,,['automobile'],,
64003,marriott international,united states,"suite 200, 905 west fulton market, chicago, illinois, 60607",1957.0,79000.0,doll_5.718 b,doll_1.386 b,doll_0.045 b,"['consumer cyclical', 'hotels', 'consumer services']",dirk van de put,
560,mercer,,,1945.0,,,,,['analytics & kpo'],,
563,meesho,india,,2015.0,,,,,['internet software & services'],,bengaluru
579,marico,india,,1990.0,1631.0,doll_0.792 b,doll_0.123 b,doll_0.153 b,"['consumer defensive', 'fmcg', 'personal care products', 'consumer goods', 'consumer non durables']",not found,
70176,microsoft corporation,united states,1 microsoft way,1975.0,220000.0,doll_2328.0 b,doll_0.19827 b,doll_0.072738 b,"['technology', 'software and it', 'laptops', 'video games / mobile games / tech games / casino games', 'gaming', 'internet or mobile app based business', 'computers hardware', 'tablets', 'cloud services', 'artificial intelligence', 'internet of things', 'media', 'electronics', 'consumer electronics', 'advertising']",satya nadella,redmond
612,max bupa health insurance company,,,2008.0,,,,,['financial services'],,
663,manipal hospitals,,,1953.0,,,,,['healthcare'],,
664,miramed ajuba,,,2001.0,,,,,['it services & consulting'],,
64003,magna international,united states,"2828 n. harwood street, 15th floor, dallas, texas, 75201",1957.0,79000.0,doll_5.718 b,doll_3.62 b,doll_0.051 b,"['technology', 'electronics', 'capital goods']",dirk van de put,
738,mando automotive,,,2006.0,,,,,['auto components'],,
746,medhaj techno concept,,,2007.0,,,,,['management consulting'],,
155905,mahindra cie automotive,india,,,,doll_0.00114 b,doll_0.0010500000000000002 b,doll_0.049 b,"['consumer cyclical', 'automobile', 'automobile parts']",not found,
768,matrimony.com,,,1997.0,,,,,['internet'],,
109920,manpowergroup,united states,"100 manpower place, milwaukee, wisconsin, 53212",,30000.0,doll_0.44800000000000006 b,doll_2.07 b,doll_0.382 b,"['industries', 'technology', 'professional services', 'outsourcing and staffing']",not found,
790,mdindia health insurance tpa,,,2000.0,,,,,['insurance'],,
68230,morgan stanley,united states,"1585 broadway, new york, 10036-8200",1935.0,75000.0,doll_16.405 b,doll_6.022 b,doll_0.014566 b,"['financial services', 'banking services', 'trading', 'brokerage services', 'wealth management', 'investments', 'asset management', 'stock markets, trading, capital markets']",james p. gorman,
184341,micromax informatics,,,,,,,,['consumer electronics & appliances'],,zhonghe
883,medlife,,,2014.0,,,,,['internet'],,
884,mahindra first choice,india,,1994.0,,,doll_0.05097 b,,['automobile'],,
888,mswipe technologies,,,2011.0,,,,,['fintech'],,
66310,marks & spencer,uk,,,65000.0,doll_0.36 b,doll_1.4300000000000002 b,doll_0.051000000000000004 b,['retail'],,
896,meril,,,2006.0,,,,,['medical equipment'],,
905,mahle anand filter systems,,,2005.0,,,,,['auto components'],,
938,minda corporation,,,1958.0,,,,,['auto components'],,
130624,makemytrip,india,,2000.0,5200.0,doll_0.324 b,doll_0.004 b,doll_-0.001 b,"['consumer cyclical', 'internet or mobile app based business', 'transportation', 'travel and transport', 'consumer services']",not found,
968,medha servo drives,,,1984.0,,,,,['electronics manufacturing'],,
977,magna infotech,,,1997.0,,,,,['automobile'],,
163265,metropolis healthcare limited,india,,1980.0,,doll_0.00229 b,doll_0.154 b,doll_0.027 b,"['healthcare', 'health care diagnostics']",not found,
1012,medusind solutions,,,2002.0,,,,,['it services & consulting'],,
1016,medplus(optival health solutions),,,2006.0,,,,,,,
1018,musashi auto parts,,,1938.0,,,,,['auto components'],,
56804,morningstar,united states,"22 w washington st, chicago, illinois, 60602",1984.0,5230.0,doll_1.042 b,doll_0.185 b,doll_0.193 b,"['financial services', 'investments', 'stock markets, trading, capital markets']",kunal kapoor,
184339,michelin,france,,1889.0,118400.0,doll_2.1399999999999997 b,doll_0.026222000000000002 b,doll_0.279 b,['tires'],florent menegaux,clermont-ferrand
11972,mu sigma,united states,,2004.0,,,,,['data management & analytics'],,northbrook
1211,mcdermott international,,,1923.0,,,,,['oil & gas'],,
1226,micro turners,,,1969.0,,,,,['auto components'],,
1229,mount litera zee school,,,1994.0,,,,,['education & training'],,
1237,mattsenkumar,,,2010.0,,,,,['bpo'],,
1240,more supermarket,,,2007.0,,,,,['retail'],,
1247,mcnally bharat engineering company,,,1961.0,,,,,['engineering & construction'],,
1249,muthoot microfin,,,2015.0,,,,,['financial services'],,
1264,magus customer dialog,,,1989.0,,,,,['bpo'],,
1288,merino industries,,,1968.0,,,,,['building material'],,
1302,medreich,,,1976.0,,,,,['pharma'],,
1331,magneti marelli motherson auto system,,,2008.0,,,,,['auto components'],,
1336,mindarika,,,1992.0,,,,,['auto components'],,
1359,malabar gold and diamonds,,,1993.0,,,,,['jewellery'],,
43776,mps limited,india,,,,doll_0.019 b,doll_0.05958 b,doll_0.01604 b,['education'],,
1369,mynd solutions private,,,2002.0,,,,,['bpo'],,
1370,my home industries,,,1997.0,,,,,['real estate'],,
1379,moser baer,,,1983.0,,,,,['consumer electronics & appliances'],,
125185,mastercard,united states,"2000 purchase st, new york, 10577-2405",1966.0,24000.0,doll_35.86 b,doll_1.888 b,doll_8.68 b,['financial services'],michael miebach,
1384,ministry of defence,,,1947.0,,,,,['defence & aerospace'],,
64003,magna international,canada,"no. 16, li-hsin road, hsinchu science-based industrial park, 300",1957.0,158000.0,doll_5.718 b,doll_3.62 b,doll_0.045 b,"['technology', 'semiconductors']",seetarama kotagiri,
1399,medley pharmaceuticals,,,1969.0,,,,,['pharma'],,
1406,molex,,,1938.0,,,,,['semiconductors'],,
1434,mothersonsumi infotech & designs,,,2000.0,,,,,['it services & consulting'],,
1435,mas financial services,,,1995.0,,,,,['nbfc'],,
1438,mmc,,,1871.0,,,,,['financial services'],,
1452,magicbricks,,,2006.0,,,,,['internet'],,
1457,majorel,,,2019.0,,,,,['bpo'],,
1482,mahle behr india,,,1997.0,,,,,['auto components'],,
1487,macawber beekay,,,1986.0,,,,,['industrial machinery'],,
64003,micro focus international,taiwan,"no. 16, li-hsin road, hsinchu science-based industrial park, 300",1991.0,9800.0,doll_0.181 b,doll_3.7380000000000004 b,doll_0.051 b,['technology and communications'],not found,
101571,maveric systems,india,,2000.0,,,doll_0.05115 b,,['technology'],,
68225,medtronic,ireland,,1949.0,90000.0,doll_15.106 b,doll_0.031677 b,doll_5.038 b,"['healthcare', 'medical equipment', 'biotechnology', 'electronics', 'healthcare products', 'healthcare service', 'technology']",geoffrey s. martha,dublin
1536,medicover hospitals,,,2011.0,,,,,['healthcare'],,
1558,maharashtra state electricity distribution company,,,2005.0,,,,,['power'],,
1586,maini precision products,,,1973.0,,,,,['auto components'],,
1603,mg motor,,,1924.0,,,,,['automobile'],,
1607,mahendras institute,,,2008.0,,,,,['education & training'],,
1622,mcm telecom equipment,,,2015.0,,,,,['hardware & networking'],,
1668,manjushree technopack,,,1983.0,,,,,['packaging'],,
1674,marlabs,,,1996.0,,,,,['it services & consulting'],,
1701,maersk line,,,1904.0,,,,,['logistics'],,
12010,monte carlo,united states,,1984.0,,,,,['artificial intelligence'],,san francisco
1722,micron electricals,,,1976.0,,,,,['engineering & construction'],,
1743,medica superspecialty hospital,,,2008.0,,,,,['healthcare'],,
108034,mitsubishi estate,japan,"bunkyo garden gate tower, 1-1-1, koishikawa, bunkyo-ku, tokyo, 112-8778",1921.0,145653.0,doll_5.723 b,doll_4.034000000000001 b,doll_0.102 b,"['consumer defensive', 'food chains / distributor']",not found,tokyo building
1786,mahindra two wheelers,,,2008.0,,,,,['automobile'],,
1795,marelli,,,1919.0,,,,,['auto components'],,
1803,maxgen technologies,,,2013.0,,,,,['it services & consulting'],,
1819,mouri tech,,,2005.0,,,,,['it services & consulting'],,
51203,mayora,indonesia,,,,doll_0.352 b,doll_0.20600000000000002 b,doll_0.011 b,['beverage'],,
184329,mccain foods,,,,,,,,['food processing'],,yuanlin
1872,miles education - cpa & cma review (hyderabad),,,2011.0,,,,,['edtech'],,
1880,mckinsey & company,,,1926.0,,,,,['management consulting'],,
1923,matrix business services,,,2003.0,,,,,['analytics & kpo'],,
1930,minda furukawa electric,,,2007.0,,,,,['auto components'],,
1954,munjal showa,,,1985.0,,,,,['auto components'],,
1958,"ministry of health, new delhi",,,1976.0,,,,,['healthcare'],,
1975,majesco,,,1982.0,,,,,['it services & consulting'],,
1981,mikuni,,,1923.0,,,,,['auto components'],,
1985,meyer organics,,,1982.0,,,,,['pharma'],,
1994,morepen laboratories,,,1984.0,,,,,['pharma'],,
2001,mott macdonald,,,1902.0,,,,,['engineering & construction'],,
2010,montecarlo construction,,,1995.0,,,,,['engineering & construction'],,
127170,metso outotec oyj,finland,"toolonlahdenkatu 2, helsinki, 00100",,,doll_0.9400000000000001 b,doll_0.004668 b,doll_0.376 b,"['industries', 'heavy machinery']","mr. pekka  vauramo m.sc., m.sc (mining)",
2024,mits global consulting,,,,,,,,['recruitment'],,
2025,muthoottu mini financiers,,,,,,,,,,
2035,me n moms,,,1994.0,,,,,['retail'],,
65280,mastek,india,,1982.0,,doll_0.064 b,doll_0.028999999999999998 b,doll_0.037 b,"['software', 'tech']",,
2071,m.j global,,,1980.0,,,,,['packaging'],,
2084,metalman auto,,,1986.0,,,,,['auto components'],,
2107,mrs bector's food specialities,,,1978.0,,,,,['fmcg'],,
2109,mecon,,,1959.0,,,,,['metals & mining'],,
2124,medall,,,1994.0,,,,,['healthcare'],,
2126,madina group,,,1997.0,,,,,['oil & gas'],,
2134,magic bus india foundation,,,1999.0,,,,,['non-profit'],,
2162,markets and markets,,,2010.0,,,,,['analytics & kpo'],,
2172,manipalcigna health insurance,,,2012.0,,,,,['insurance'],,
2176,mazagon dock,,,1934.0,,,,,['ports & shipping'],,
48354,merck,united states,,1891.0,67000.0,doll_21.038 b,doll_4.7994 b,doll_1.777 b,['pharmaceuticals dow-jones biotech '],mr. robert m. davis j.d.,darmstadt
2257,methodex,,,1960.0,,,,,['law enforcement & security'],,
2310,mavenir systems,,,2017.0,,,,,['software product'],,
2328,maxop engineering co.,,,2003.0,,,,,['industrial machinery'],,
2347,mantra technologies,,,2004.0,,,,,['it services & consulting'],,
24610,micro focus,uk,,,,doll_0.22200000000000003 b,,,"['software', 'tech']",,
2361,metrotelworks,,,2004.0,,,,,['telecom'],,
2365,maxxis rubber,,,2015.0,,,,,['auto components'],,
2376,mitsuba sical,,,1997.0,,,,,['auto components'],,
2385,meritnation,,,1988.0,,,,,['edtech'],,
2405,myk laticrete,,,2000.0,,,,,['building material'],,
2409,moglix,singapore,,2015.0,,,,,['e-commerce & direct-to-consumer'],,
2423,msd pharmaceuticals,,,1965.0,,,,,['pharma'],,
2431,mothers recipe,,,1901.0,,,,,['food processing'],,
2435,mn dastur & company,,,1955.0,,,,,['metals & mining'],,
2443,mahindra automotives,,,,,,,,['automobile'],,
2449,mahindra insurance brokers,,,2004.0,,,,,['insurance'],,
2469,magma hdi general insurance,,,2012.0,,,,,['insurance'],,
2483,mungi group,,,1984.0,,,,,['metals & mining'],,
2488,metro global business services,,,2011.0,,,,,['it services & consulting'],,
2492,mitsubishi electric automotive india,,,1958.0,,,,,['automobile'],,
2523,mjunction services,,,2001.0,,,,,['it services & consulting'],,
2538,muthoot pappachan group,,,1887.0,,,,,['financial services'],,
53891,mirza international,india,,,,doll_0.034999999999999996 b,doll_0.025 b,doll_0.02949 b,['footwear'],,
2547,mt educare,,,1988.0,,,,,['edtech'],,
2562,mcafee,,,1987.0,,,,,['it services & consulting'],,
2575,mygate,,,2016.0,,,,,['law enforcement & security'],,
2600,m*modal,,,2001.0,,,,,['it services & consulting'],,
74434,macquarie group,australia,"commonwealth bank building sav, 50 martin pl, sydney, new south wales, 2000",1969.0,17209.0,doll_5.599 b,doll_1.121 b,doll_3.258 b,"['financial services', 'investments', 'asset management', 'stock markets, trading, capital markets']",shemara wikramanayake,
2637,mahindra integrated business solutions,,,2011.0,,,,,['analytics & kpo'],,
2659,mfar constructions,,,1996.0,,,,,['engineering & construction'],,
2668,madura micro finance,,,2006.0,,,,,['financial services'],,
2679,meghmani organics,,,1986.0,,,,,['chemicals'],,
2685,moody's analytics,,,2007.0,,,,,['analytics & kpo'],,
2687,mann and hummel filter,,,1942.0,,,,,['industrial machinery'],,
2729,metro hospital & heart institute,,,1997.0,,,,,['healthcare'],,
2737,mahendra nextwealth,,,2009.0,,,,,['it services & consulting'],,
2744,mobileum,,,2000.0,,,,,['software product'],,
47945,mettler-toledo,united states,,,,doll_3.258 b,doll_0.389 b,doll_0.10800000000000001 b,['electronics manufacturing'],,
2747,metric stream infotech,,,1999.0,,,,,['internet'],,
2753,marpu foundation,,,,,,,,['non-profit'],,
2761,munjal auto industries,,,1985.0,,,,,['auto components'],,
2773,mahindra susten,,,2010.0,,,,,['engineering & construction'],,
2800,my home constructions,,,1989.0,,,,,['real estate'],,
28481,mitsui o.s.k. lines,japan,"shosen mitsui bldg., 2-1-1, toranomon, minato-ku, tokyo, 105-8688",1884.0,8941.0,doll_0.89 b,doll_1.081 b,doll_0.0051719999999999995 b,"['industries', 'shipping', 'freight transport', 'marine transportation']",takeshi hashimoto,
2831,mukand,,,1937.0,,,,,['iron & steel'],,
2833,military engineer services,,,1923.0,,,,,['engineering & construction'],,
2838,mcnroe,,,1986.0,,,,,['fmcg'],,
44801,magic software,israel,,,,doll_0.077 b,,,['it services & consulting'],,
2879,mediterranean shipping company,,,1970.0,,,,,['it services & consulting'],,
2897,magicpin,,,2015.0,,,,,['internet'],,
2910,miot international,,,1999.0,,,,,['healthcare'],,
21408,manhattan associates,united states,,1990.0,3600.0,doll_0.763 b,doll_0.074 b,doll_0.11 b,"['technology', 'software and it', 'software products']",not found,
2918,mobilecomm technologies india,,,2002.0,,,,,['telecom'],,
179712,mtn group,south africa,,1948.0,19295.0,doll_1.998 b,doll_1.228 b,doll_0.939 b,['exploration & production'],ralph mupita,budapest
2995,manipal technologies,,,1941.0,,,,,['printing & publishing'],,
3100,mmc infotech services,,,1990.0,,,,,['it services & consulting'],,
3107,madhucon projects,,,1983.0,,,,,['engineering & construction'],,
3114,munjal kiriu industries,,,1956.0,,,,,['auto components'],,
3119,modi mundi pharma,,,1990.0,,,,,['pharma'],,
3133,mahindra lifespace developers,,,1994.0,,,,,['real estate'],,
3146,monnet group,,,1990.0,,,,,['metals & mining'],,
3187,mitra sk,,,1938.0,,,,,['other'],,
3226,mdc group of companies,,,,,,,,['pharma'],,
5109,mahindra electric,,,1994.0,,,,,['retail'],,
3239,mantri developers,,,1999.0,,,,,['real estate'],,
3250,mark exhaust systems,,,1993.0,,,,,['auto components'],,
3260,murugappa group,,,1900.0,,,,,['agriculture'],,
3265,muthoot homefin india,,,2011.0,,,,,['investment banking / venture capital / private equity'],,
3281,mr cooper,,,1994.0,,,,,['financial services'],,
3298,mashreq global services,,,2005.0,,,,,['it services & consulting'],,
3303,markelytics solutions,,,2003.0,,,,,['analytics & kpo'],,
3309,midascare pharmaceuticals,,,1986.0,,,,,['pharma'],,
3310,merck life science,,,1668.0,,,,,['pharma'],,
3311,machino plastics,,,1987.0,,,,,['auto components'],,
3316,mspl,,,1961.0,,,,,['metals & mining'],,
3325,medopharm,,,1970.0,,,,,['pharma'],,
3334,mobius knowledge services,,,2002.0,,,,,['printing & publishing'],,
3348,mtr foods,,,1924.0,,,,,['food processing'],,
3366,molecular connections,,,2001.0,,,,,['it services & consulting'],,
3369,mas callnet,,,1990.0,,,,,['bpo'],,
3379,millennium engineers & contractors,,,1999.0,,,,,['engineering & construction'],,
3399,micromatic machine tools,,,1973.0,,,,,['industrial machinery'],,
3418,microsense,,,1982.0,,,,,['it services & consulting'],,
3425,metrochem api,,,2004.0,,,,,['pharma'],,
3430,motilal oswal,,,1987.0,,,,,['financial services'],,
3439,muthoot capital services,,,1994.0,,,,,['financial services'],,
3444,mep infrastructure developers,,,2002.0,,,,,['engineering & construction'],,
3490,msp steel & power,,,1930.0,,,,,['iron & steel'],,
3495,meenakshi polymers,,,1989.0,,,,,['auto components'],,
3514,miracle software systems,,,1994.0,,,,,['it services & consulting'],,
3527,mobiloitte technologies,,,2004.0,,,,,['it services & consulting'],,
3538,mobile programming,,,2001.0,,,,,['it services & consulting'],,
3584,marksans pharma,india,,,,doll_0.032 b,doll_0.020999999999999998 b,doll_0.03521 b,['pharmaceuticals'],,
3611,marathon realty,,,1969.0,,,,,['real estate'],,
3620,mbl infrastructures,,,1995.0,,,,,['engineering & construction'],,
3642,microlink solutions,,,1996.0,,,,,['it services & consulting'],,
3677,magma housing finance,,,1989.0,,,,,['financial services'],,
3687,max data entry services,,,,,,,,['bpo'],,
3689,micro plastics,,,2005.0,,,,,['petrochemicals'],,
3692,mindteck,,,1991.0,,,,,['it services & consulting'],,
3699,msn life sciences,,,,,,,,,,
3740,midland microfin,,,2011.0,,,,,['financial services'],,
3813,moon beverages,,,1987.0,,,,,['beverage'],,
3826,mol information processing services india,,,1997.0,,,,,['it services & consulting'],,
15754,mep infrastructure,india,,,,doll_0.03996 b,doll_0.09203 b,doll_0.03635 b,['engineering & construction'],,
3828,man truck & bus,,,1758.0,,,,,['automobile'],,
3862,mymoneymantra,,,1989.0,,,,,['internet'],,
3888,monsanto,,,1901.0,,,,,['agriculture'],,
3891,med manor organics,,,1998.0,,,,,['pharma'],,
3917,maxicus,,,2003.0,,,,,,,
165026,monex group,japan,,,,doll_0.0015 b,doll_0.703 b,doll_0.095 b,"['financial services', 'stock markets, trading, capital markets', 'securities', 'trading', 'brokerage services']",not found,
3939,mytrah energy,,,2009.0,,,,,['power'],,
3940,minda kosei aluminum wheel,,,2015.0,,,,,['auto components'],,
3949,mindfire solutions,,,1999.0,,,,,['it services & consulting'],,
3975,midco,,,1931.0,,,,,['telecom'],,
3993,major brands,,,2001.0,,,,,['retail'],,
4011,marine electricals,,,,,doll_0.382 b,,,['electrical equipment'],not found,
4053,massive restaurants,,,2012.0,,,,,['hospitality'],,
4070,mindgate solutions,,,2008.0,,,,,['it services & consulting'],,
4078,milk mantra dairy,,,2009.0,,,,,['food processing'],,
4102,monster com india,,,1999.0,,,,,['recruitment'],,
4104,m & m financial services,,,1991.0,,,,,['nbfc'],,
4144,mundra solar technopark,,,2015.0,,,,,['industrial machinery'],,
102897,marfeel solutions,spain,,2011.0,,,doll_0.0079 b,,['advertising'],,
4166,mediamint,,,2010.0,,,,,['marketing & advertising'],,
4194,mita,,,1999.0,,,,,['industrial machinery'],,
4201,moolchand medcity,,,2006.0,,,,,['healthcare'],,
4203,metro retail.pvt.ltd.,,,2009.0,,,,,['retail'],,
4214,moretasks,,,2016.0,,,,,['it services & consulting'],,
146976,msci,united states,,1969.0,4303.0,doll_4.039 b,doll_0.20400000000000001 b,doll_0.725 b,"['financial services', 'business services', 'stock markets, trading, capital markets']",henry a. fernandez,
4228,manpasand beverages,,,1998.0,,,,,['beverage'],,
4257,megafine pharma,,,1995.0,,,,,['pharma'],,
184345,miniso,,,,,,,,['retail'],,suminoe
4288,marble box,,,2002.0,,,,,['insurance'],,
4298,margadarsi chit fund,,,1962.0,,,,,['financial services'],,
4303,maxi multiservices,,,2015.0,,,,,['fintech'],,
56568,mitsubishi heavy industries,japan,"marunouchi nijubashi bldg., 3-2-3, marunouchi, chiyoda-ku, tokyo, 100-8332",1884.0,79974.0,doll_1.158 b,doll_3.406 b,doll_0.829 b,"['industries', 'automobile', 'automobile parts', 'electronics', 'electrical products', 'infrastructure', 'defense products', 'air conditioners', 'aircrafts', 'engineering products', 'engineering services', 'machinery manufacturing', 'manufacturing', 'rockets', 'ship parts']",not found,
97194,mashreq bank,united arab emirates,,1967.0,,doll_0.418 b,doll_0.25 b,doll_0.2728 b,['banking'],ahmed mohammed abdelaal,
4341,medline industries,,,1966.0,,,,,['medical equipment'],,
4342,maq software,,,2000.0,,,,,['it services & consulting'],,
4344,mj biopharm,,,1987.0,,,,,['pharma'],,
4366,maharaja agrasen hospital,,,1991.0,,,,,['healthcare'],,
4393,mindlance,,,1999.0,,,,,['recruitment'],,
4394,manika moulds,,,1996.0,,,,,['petrochemicals'],,
4395,mat brakes,,,,,,,,['auto components'],,
4400,muthoot housing finance company,,,2010.0,,,,,['nbfc'],,
4416,magnasoft consulting india,,,2000.0,,,,,['it services & consulting'],,
22912,micron technology,united states,"2355 west chandler boulevard, arizona, 85224",1989.0,43000.0,doll_8.649 b,doll_3.117 b,doll_0.5860000000000001 b,"['semiconductors, electronics, electrical engineering, technology hardware & equipment']",ganesh moorthy,
16832,mm forgings,india,,,,doll_0.025 b,doll_0.017 b,doll_0.01991 b,['iron & steel'],,
4450,modern automotives,,,2004.0,,,,,['automobile'],,
4463,mrf vapocure paints,,,1989.0,,,,,['chemicals'],,
43520,mangalam cement,india,,1976.0,,doll_0.01 b,doll_0.022 b,doll_0.014369999999999999 b,['building material'],,
4482,manipal university,,,1953.0,,,,,['education & training'],,
4538,mindcraft software,,,2002.0,,,,,['it services & consulting'],,
4545,moschip technologies,,,1999.0,,,,,['emerging technologies'],,
4575,mahle anand thermal systems,,,,,,,,,,
4589,manohar filaments,,,1986.0,,,,,['fashion & textile'],,
4593,malladi drugs & pharmaceuticals,,,1980.0,,,,,['pharma'],,
4595,maahi milk producer company,,,2012.0,,,,,['food processing'],,
4648,maksat technologies,,,2000.0,,,,,['telecom'],,
4665,mahavir die casters,,,1991.0,,,,,['auto components'],,
4712,miraj group,,,1987.0,,,,,['fmcg'],,
4695,mafatlal industries,,,1913.0,,,,,['retail'],,
4737,mmtc-pamp,,,2008.0,,,,,['metals & mining'],,
4748,manba finance,,,1996.0,,,,,['nbfc'],,
4778,mkcl,,,2001.0,,,,,['education & training'],,
4813,motherhood hospital,,,2008.0,,,,,['healthcare'],,
4817,milkbasket,,,2015.0,,,,,['internet'],,
5714,mayfair hotels & resorts,,,1973.0,,,,,['hospitality'],,
4830,msc cruises,,,1988.0,,,,,['ports & shipping'],,
4837,matix fertilisers & chemicals,,,2009.0,,,,,['chemicals'],,
4841,mayur uniquoters,,,1992.0,,,,,['leather'],,
4843,madras engineering industries,,,1966.0,,,,,['auto components'],,
4859,mmach design,,,,,,,,['it services & consulting'],,
4881,mindcrest,,,2001.0,,,,,['legal'],,
4896,msn pharmachem,,,2004.0,,,,,,,
4901,marg erp,,,2000.0,,,,,['accounting & auditing'],,
4937,maharashtra state electricity transmission company,,,2005.0,,,,,['government'],,
4951,more mega store,,,2007.0,,,,,['retail'],,
4973,metriqe solutions,,,2007.0,,,,,['it services & consulting'],,
4987,mohani tea leaves,,,1992.0,,,,,['fmcg'],,
4994,makino,,,1937.0,,,,,['auto components'],,
5002,merit software services,,,2004.0,,,,,['edtech'],,
5046,myk schomburg,,,2006.0,,,,,['chemicals'],,
5079,minda sai,,,2003.0,,,,,['automobile'],,
5107,merittrac,,,2000.0,,,,,['edtech'],,
5116,metacube software,,,2004.0,,,,,['it services & consulting'],,
5124,marathon electric india,,,1913.0,,,,,['semiconductors'],,
5158,maharashtra state road transport corporation,,,1948.0,,,,,['urban transport'],,
5165,msl driveline systems,,,1979.0,,,,,['auto components'],,
5190,maccaferri,,,1879.0,,,,,['real estate'],,
5198,meneta automotive components,,,2007.0,,,,,['auto components'],,
5207,monginis foods,,,1960.0,,,,,['food processing'],,
5209,marquardt,,,1996.0,,,,,['auto components'],,
5230,municipal corporation of greater mumbai,,,1888.0,,,,,['government'],,
5239,motilal oswal securities,,,,,,,,['financial services'],,
5245,mutual industries,,,1979.0,,,,,['petrochemicals'],,
5257,mandovi motors,,,1984.0,,,,,['auto components'],,
5259,ministry of rural development india,,,1974.0,,,,,['government'],,
5266,modern v.r. security force,,,1984.0,,,,,['law enforcement & security'],,
5273,man industries,,,1988.0,,,,,['building material'],,
123600,maschio gaspardo spa,italy,via marcello 73,1964.0,,,,,['industrial machinery'],,campodarsego
5321,medibuddy,,,2013.0,,,,,['internet'],,
5345,maharishi markandeshwar university,,,1993.0,,,,,['education & training'],,
102154,maxxi engineering,italy,,2012.0,,,doll_0.0016200000000000001 b,,['support services'],,
5352,mayasheel retail llp,,,2015.0,,,,,['retail'],,
5367,mahindra agri solutions,,,2000.0,,,,,['agriculture'],,
6736,metro shoes,,,1968.0,,,,,['auto components'],,
5414,mazars,,,2007.0,,,,,['accounting & auditing'],,
5418,maharashtra natural gas,,,2006.0,,,,,['oil & gas'],,
5445,montage enterprises,,,2002.0,,,,,['packaging'],,
5516,maxinfra,,,1975.0,,,,,['real estate'],,
5545,multiplier brand solutions,,,2016.0,,,,,['pharma'],,
5573,mfine,,,2017.0,,,,,['internet'],,
5613,mahindra sanyo special steel,,,1933.0,,,,,['iron & steel'],,
5652,marsh,,,1969.0,,,,,['management consulting'],,
5665,mogli labs,,,2014.0,,,,,['other'],,
5670,modicare,,,1996.0,,,,,['beauty & personal care'],,
5721,ministry of education,,,,,,,,['government'],,
